area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Eloor,3 BHK,Sawyer,4820,2,2,24100000
Super built-up  Area,Ready To Move,Kunnathunad,2 BHK,Crawfor,1843,1,1,9215000
Super built-up  Area,Ready To Move,Veliyathunadu,2 BHK,CollgCr,3640,2,1,18200000
Super built-up  Area,20-Dec,Koonammavu,1 BHK,Edwards,3000,1,0,15000000
Super built-up  Area,Ready To Move,Puthenkurish,2 BHK,Veenker,4500,2,1,22500000
Super built-up  Area,19-Mar,Kunnukara,2 BHK,Crawfor,1300,2,1,6500000
Super built-up  Area,Ready To Move,Kolenchery,2 BHK,NAmes,1000,2,2,5000000
Plot  Area,Ready To Move,A z a d Road,4 Bedroom,NPkVill,2000,4,1,10000000
Built-up  Area,Ready To Move,Alappuzha,4 Bedroom,OldTown,1700,4,3,8500000
Built-up  Area,Ready To Move,Alappuzha Arthunkal Kochi Road,3 BHK,OldTown,1800,3,2,9000000
Plot  Area,Ready To Move,Alfiya Nagar,4 Bedroom,StoneBr,1200,3,2,6000000
Super built-up  Area,Ready To Move,Alinchuvadu,3 BHK,Sawyer,1200,3,,6000000
Super built-up  Area,Ready To Move,Alwaye,3 BHK,SawyerW,1700,3,2,8500000
Plot  Area,Ready To Move,Ambalamedu,3 Bedroom,SWISU,1650,2,0,8250000
Super built-up  Area,Ready To Move,Ambelipadam Road,2 BHK,ClearCr,1500,2,2,7500000
Super built-up  Area,Ready To Move,Amrita Nagar,3 BHK,CollgCr,2500,3,2,12500000
Built-up  Area,Ready To Move,Aroor,3 BHK,NoRidge,2500,3,2,12500000
Super built-up  Area,18-Jul,Azad Road,4 BHK,StoneBr,2460,6,2,12300000
Super built-up  Area,Ready To Move,Block Office Road,4 BHK,Somerst,2800,4,,14000000
Super built-up  Area,Ready To Move,Bolghatty Palace Island Resort,3 BHK,Somerst,2466,2,1,12330000
Built-up  Area,Ready To Move,Brahmapuram,2 BHK,StoneBr,1650,2,1,8250000
Plot  Area,Ready To Move,Cannon Shed Road,4 Bedroom,NridgHt,810,5,,4050000
Built-up  Area,Ready To Move,CBI Road,2 BHK,CollgCr,1250,2,1,6250000
Super built-up  Area,Ready To Move,Chakkalakkal,2 BHK,NoRidge,3654,2,2,18270000
Super built-up  Area,Ready To Move,Chakkalapadam Road,2 BHK,Timber,3800,2,,19000000
Super built-up  Area,19-Dec,Chakkarapparambu Road,1 BHK,OldTown,1456,1,1,7280000
Super built-up  Area,Ready To Move,Changampuzha Nagar,3 BHK,BrkSide,2456,3,2,12280000
Super built-up  Area,Ready To Move,Changampuzha Park Road,3 BHK,Timber,3654,2,3,18270000
Super built-up  Area,Ready To Move,Chavakkadu Kochi,4 BHK,BrkSide,2250,4,1,11250000
Super built-up  Area,Ready To Move,Chembakara,3 BHK,Edwards,4500,2,3,22500000
Super built-up  Area,18-Jun,Chembumukku,2 BHK,Sawyer,2000,2,1,10000000
Super built-up  Area,Ready To Move,Cherthala Taluk Alappuzha,1 BHK,Somerst,1600,1,2,8000000
Built-up  Area,Ready To Move,Chilavannur,3 BHK,Timber,5000,3,1,25000000
Super built-up  Area,Ready To Move,Chitrapuzha Road,3 BHK,NWAmes,5500,2,2,27500000
Super built-up  Area,18-Dec,Chittethukara,2 BHK,StoneBr,4500,2,1,22500000
Super built-up  Area,Ready To Move,Chunangamvely,3 BHK,OldTown,1200,2,3,6000000
Plot  Area,Ready To Move,Cochin College Road,4 Bedroom,CollgCr,1000,4,2,5000000
Built-up  Area,Ready To Move,Convent Road,8 Bedroom,IDOTRR,1350,8,3,6750000
Super built-up  Area,Ready To Move,Deshabhimani,2 BHK,ClearCr,1435,2,1,7175000
Plot  Area,Ready To Move,Desom,3 Bedroom,NridgHt,1900,3,0,9500000
Plot  Area,Ready To Move,Echamuku,9 Bedroom,Gilbert,1800,9,,9000000
Super built-up  Area,Ready To Move,Elamana Road,1 BHK,Sawyer,1500,1,1,7500000
Built-up  Area,Ready To Move,Eroor Road,2 BHK,BrkSide,1800,2,0,9000000
Plot  Area,Ready To Move,FACT Nagar,3 Bedroom,IDOTRR,1000,3,3,5000000
Super built-up  Area,18-Jul,Gandhinagar Road,3 BHK,StoneBr,1300,2,2,6500000
Super built-up  Area,Ready To Move,Good Earth Lane,2 BHK,BrkSide,3000,2,1,15000000
Super built-up  Area,Ready To Move,HMT Colony,2 BHK,Sawyer,1500,2,1,7500000
Super built-up  Area,Ready To Move,HMT Colony Road,2 BHK,NWAmes,1800,2,1,9000000
Super built-up  Area,Ready To Move,HMT Kalamassery,3 BHK,OldTown,2000,3,3,10000000
Super built-up  Area,17-Oct,Idukki,3 BHK,NWAmes,5000,2,1,25000000
Super built-up  Area,Ready To Move,Janatha Road,2 BHK,NoRidge,2500,2,1,12500000
Built-up  Area,Ready To Move,Jawahar Nagar,2 BHK,CollgCr,1500,2,1,7500000
Plot  Area,Ready To Move,Jaya Nagar,8 Bedroom,StoneBr,1300,8,2,6500000
Super built-up  Area,18-Dec,Journalist Colony,3 BHK,CollgCr,1050,3,2,5250000
Plot  Area,Ready To Move,Judgemukku Thrikkakara,6 Bedroom,NAmes,1600,5,2,8000000
Super built-up  Area,21-Dec,Kaipadamugal,2 BHK,Edwards,1200,2,1,6000000
Plot  Area,Ready To Move,Kakkanad Junction Road,4 Bedroom,Edwards,3500,4,1,17500000
Super built-up  Area,Ready To Move,Kalabhavan Road,3 BHK,NAmes,1350,2,2,6750000
Super built-up  Area,Ready To Move,Kaloor Kadavanthara Road,2 BHK,Crawfor,4350,2,3,21750000
Plot  Area,Ready To Move,Kangarappady Navodaya Road,8 Bedroom,CollgCr,1900,10,3,9500000
Super built-up  Area,Ready To Move,Karikkamuri,2 BHK,NAmes,1800,2,1,9000000
Plot  Area,Ready To Move,Karimugal,3 Bedroom,IDOTRR,3500,3,2,17500000
Super built-up  Area,Ready To Move,Karimugal Kaninadu Road,5 BHK,StoneBr,4800,4,2,24000000
Super built-up  Area,18-Jul,Karingachira,2 BHK,Timber,5000,2,2,25000000
Built-up  Area,Ready To Move,Karippassery,2 BHK,CollgCr,1300,2,2,6500000
Plot  Area,Ready To Move,Karshaka Road,4 Bedroom,Sawyer,2000,4,1,10000000
Super built-up  Area,19-Oct,Karthikapally Taluk Alappuzha,4 BHK,Sawyer,1258,4,2,6290000
Super built-up  Area,18-May,Kasargod,3 BHK,OldTown,1800,4,1,9000000
Built-up  Area,Ready To Move,KB Jacob Road,3 BHK,NAmes,1600,3,1,8000000
Super built-up  Area,Ready To Move,Kochangadi,3 BHK,Gilbert,1385,3,3,6925000
Built-up  Area,Ready To Move,Kochi Metropolitan Area,2 BHK,Edwards,2500,2,1,12500000
Super built-up  Area,Ready To Move,Kochi Road,2 BHK,CollgCr,2000,2,2,10000000
Super built-up  Area,18-Mar,Kongorpilly Olanad Road,2 BHK,OldTown,1300,2,1,6500000
Built-up  Area,Ready To Move,Kothamangalam,4 Bedroom,Sawyer,4500,4,0,22500000
Super built-up  Area,Ready To Move,Kottayam Kochi,2 BHK,SawyerW,1600,2,1,8000000
Built-up  Area,Ready To Move,Kozhikode,3 BHK,Sawyer,1000,3,2,5000000
Super built-up  Area,18-Jan,Kumaranasan Road,1 BHK,StoneBr,1630,1,1,8150000
Super built-up  Area,Ready To Move,Kumarapuram Temple Road,3 BHK,NWAmes,2000,3,2,10000000
Super built-up  Area,Ready To Move,Kumbalam,2 BHK,Gilbert,1600,2,2,8000000
Super built-up  Area,Ready To Move,Kunnumpuram,3 BHK,OldTown,1350,3,3,6750000
Super built-up  Area,Ready To Move,Kuthukuzhi,3 BHK,NoRidge,1500,3,2,7500000
Super built-up  Area,Ready To Move,Kyomtha Seminary Road,3 BHK,Edwards,1600,2,3,8000000
Super built-up  Area,Ready To Move,LakeshoreMadavana Service Road,2 BHK,OldTown,2900,2,1,14500000
Super built-up  Area,Ready To Move,Layam Road,4 BHK,Gilbert,1200,4,,6000000
Built-up  Area,Ready To Move,Link Park Lane,3 Bedroom,CollgCr,2255,3,0,11275000
Built-up  Area,18-Apr,Lisie Hospital Road,3 BHK,NridgHt,1400,2,1,7000000
Built-up  Area,Ready To Move,Malikampeedika,2 BHK,NAmes,1500,2,2,7500000
Super built-up  Area,18-Jul,Mallapally Taluk Pathanamthitta,3 BHK,Somerst,1600,3,3,8000000
Plot  Area,Ready To Move,Mallapuram,5 Bedroom,CollgCr,2700,6,,13500000
Super built-up  Area,20-Dec,Mannarakkara Road,2 BHK,Sawyer,1200,2,1,6000000
Super built-up  Area,Ready To Move,Marine drive,2 BHK,Somerst,4600,2,2,23000000
Super built-up  Area,Ready To Move,Market Road,2 BHK,NoRidge,1650,2,1,8250000
Super built-up  Area,Ready To Move,Marottichuvadu,2 BHK,NAmes,5520,2,2,27600000
Super built-up  Area,Ready To Move,Mattanchery,2 BHK,BrkSide,3900,2,3,19500000
Super built-up  Area,Ready To Move,Medical Centre Road,3 BHK,Somerst,1800,3,2,9000000
Built-up  Area,Ready To Move,Medical College NAD Road,3 BHK,NoRidge,4500,3,2,22500000
Super built-up  Area,Ready To Move,Menaka-MARINE DRIVE,2 BHK,Veenker,1551,2,1,7755000
Built-up  Area,Ready To Move,MLA Road,4 BHK,Somerst,1600,4,1,8000000
Plot  Area,Ready To Move,Mundampalam,4 Bedroom,NWAmes,1955,4,2,9775000
Built-up  Area,Ready To Move,Mundamveli,2 BHK,Mitchel,1550,2,2,7750000
Super built-up  Area,Ready To Move,Munnar,2 BHK,CollgCr,4820,2,3,24100000
Super built-up  Area,Ready To Move,Muthukulam Village Kochi,3 BHK,StoneBr,1843,3,1,9215000
Super built-up  Area,18-May,Navodaya North Millumpady,2 BHK,Sawyer,3640,2,1,18200000
Carpet  Area,Ready To Move,Nethaji Nagar,3 BHK,Edwards,3000,3,0,15000000
Super built-up  Area,Ready To Move,NGO Quarters Kochi,2 BHK,Edwards,4500,2,1,22500000
Super built-up  Area,Ready To Move,NGO Quarters Mavelipuram Road,2 BHK,NAmes,1300,2,1,6500000
Super built-up  Area,18-Jun,Nh Byepass,2 BHK,NridgHt,1000,2,1,5000000
Plot  Area,Ready To Move,Njarackal,3 Bedroom,Mitchel,2000,2,0,10000000
Built-up  Area,Ready To Move,Njarakkal,2 BHK,CollgCr,1700,2,1,8500000
Built-up  Area,Ready To Move,North Janatha Road,4 BHK,Sawyer,1800,4,2,9000000
Super built-up  Area,Ready To Move,North Kalamassery,2 BHK,SawyerW,1200,2,1,6000000
Super built-up  Area,Ready To Move,Ottapalam,3 BHK,Mitchel,1200,3,2,6000000
Plot  Area,Ready To Move,Padivattom,4 Bedroom,Gilbert,1700,4,2,8500000
Super built-up  Area,Ready To Move,Palachuvadu,3 BHK,SawyerW,1650,4,3,8250000
Plot  Area,Ready To Move,Palakkad,2 Bedroom,CollgCr,1500,2,0,7500000
Plot  Area,Ready To Move,Pallimugal Rd,6 Bedroom,Mitchel,2500,7,2,12500000
Super built-up  Area,Ready To Move,Panampilly Nagar Link Road,2 BHK,OldTown,2500,1,1,12500000
Plot  Area,Ready To Move,Panangad,2 Bedroom,NWAmes,2460,2,0,12300000
Plot  Area,Ready To Move,Paravur,2 Bedroom,OldTown,2800,2,2,14000000
Plot  Area,18-May,Pathadipalam,2 Bedroom,SawyerW,2466,2,1,12330000
Built-up  Area,Ready To Move,Pathirapally Village Ambalapuzha,2 BHK,OldTown,1650,2,2,8250000
Super built-up  Area,Ready To Move,Pattalam Road,2 BHK,ClearCr,810,2,1,4050000
Super built-up  Area,Ready To Move,Perumbaikadu Village Kottayam,2 BHK,Blmngtn,1250,2,2,6250000
Super built-up  Area,19-Jul,Pipeline Road,3 BHK,Mitchel,3654,3,,18270000
Super built-up  Area,18-Nov,Ponnurunni,2 BHK,NoRidge,3800,2,1,19000000
Super built-up  Area,21-May,Pottakuzhi Mamangalam Road,3 BHK,Somerst,1456,3,2,7280000
Super built-up  Area,Ready To Move,PT Usha Road,2 BHK,Gilbert,2456,2,1,12280000
Super built-up  Area,Ready To Move,Pulikillam East Road,6 BHK,SawyerW,3654,6,2,18270000
Super built-up  Area,19-Dec,Puthenpally,2 BHK,Sawyer,2250,2,1,11250000
Built-up  Area,Ready To Move,PuthiyaKavu Valavu Road,2 BHK,NAmes,4500,2,2,22500000
Super built-up  Area,Ready To Move,Puthukkalavattom Road,2 BHK,NridgHt,2000,2,2,10000000
Super built-up  Area,Ready To Move,Rameshwaram Village,3 BHK,SWISU,1600,2,2,8000000
Built-up  Area,Ready To Move,Ravipuram,1 Bedroom,ClearCr,5000,1,1,25000000
Super built-up  Area,19-Mar,Residential House Kurambala,2 BHK,IDOTRR,5500,2,0,27500000
Super built-up  Area,Ready To Move,Seaport Airport Road,3 BHK,CollgCr,4500,4,2,22500000
Plot  Area,Ready To Move,Smartcity Road,3 Bedroom,NridgHt,3500,2,0,17500000
Super built-up  Area,Ready To Move,SN Junction Over Bridge,3 BHK,NAmes,1200,3,2,6000000
Super built-up  Area,18-Dec,Society Road,3 BHK,Somerst,1000,3,2,5000000
Super built-up  Area,Ready To Move,South Kalamassery,3 BHK,NAmes,1350,3,2,6750000
Plot  Area,Immediate Possession,St James Church Rd,,BrkSide,1435,,,7175000
Super built-up  Area,Ready To Move,Stadium Link Road,4 BHK,NAmes,1900,6,0,9500000
Built-up  Area,Ready To Move,Stadium Road,4 BHK,OldTown,1800,4,3,9000000
Super built-up  Area,Ready To Move,Stadium Round,4 BHK,NWAmes,1500,4,3,7500000
Super built-up  Area,Ready To Move,TD Road,2 BHK,CollgCr,1800,2,1,9000000
Super built-up  Area,Ready To Move,Thamaramkulangara Road,2 BHK,IDOTRR,1000,2,2,5000000
Plot  Area,Ready To Move,Thattampady,4 Bedroom,NAmes,1300,3,3,6500000
Super built-up  Area,Ready To Move,Thiruvaniyoor,3 BHK,Edwards,3000,3,3,15000000
Super built-up  Area,Ready To Move,Thoppumpady,4 BHK,CollgCr,1500,4,,7500000
Super built-up  Area,Ready To Move,Thottumugham,3 BHK,NAmes,1800,4,1,9000000
Plot  Area,Ready To Move,Thrippunithura,3 Bedroom,Mitchel,2000,4,1,10000000
Super built-up  Area,Ready To Move,Thuthiyoor Road,2 BHK,ClearCr,5000,2,2,25000000
Super built-up  Area,18-Feb,Trichur,2 BHK,NridgHt,2500,2,0,12500000
Super built-up  Area,18-Aug,Uliyannoor,3 BHK,CollgCr,1500,3,2,7500000
Super built-up  Area,Ready To Move,Unichira Kochi,3 BHK,OldTown,1300,3,2,6500000
Built-up  Area,Ready To Move,Unnichira Koonamthai,2 BHK,Gilbert,1050,2,1,5250000
Built-up  Area,Ready To Move,Vadakkekotta Kochi,1 BHK,SWISU,1600,1,1,8000000
Super built-up  Area,Ready To Move,Vadasserikkara Village Ranni,3 BHK,Somerst,1200,3,2,6000000
Super built-up  Area,Ready To Move,Valanjambalam,3 BHK,NridgHt,3500,3,0,17500000
Built-up  Area,Ready To Move,Valappu,2 BHK,BrkSide,1350,2,0,6750000
Built-up  Area,Ready To Move,Vallarpadam Church Road,2 Bedroom,SawyerW,4350,2,1,21750000
Super built-up  Area,Ready To Move,Vallikavu Road,3 BHK,ClearCr,1900,2,1,9500000
Plot  Area,Ready To Move,Veli Road,4 Bedroom,Somerst,1800,4,2,9000000
Super built-up  Area,Ready To Move,Vidya Nagar Colony,2 BHK,NAmes,3500,2,1,17500000
Super built-up  Area,19-Oct,Kakkanad,2 BHK,Somerst,4800,2,2,24000000
Super built-up  Area,Ready To Move,Pukkattupady,2 BHK,CollgCr,5000,2,2,25000000
Super built-up  Area,Ready To Move,Kaloor,2 BHK,NAmes,1300,2,2,6500000
Super built-up  Area,Ready To Move,Aluva,3 BHK,NAmes,2000,3,2,10000000
Built-up  Area,Ready To Move,Edappally,5 Bedroom,Sawyer,1258,5,,6290000
Built-up  Area,Ready To Move,Marine Drive,2 BHK,OldTown,1800,2,1,9000000
Super built-up  Area,Ready To Move,Eroor,3 BHK,BrDale,1600,3,3,8000000
Super built-up  Area,Ready To Move,Kadavanthra,2 BHK,CollgCr,1385,2,2,6925000
Super built-up  Area,Ready To Move,Thripunithura,3 BHK,Edwards,2500,2,2,12500000
Built-up  Area,Ready To Move,Kuzhivelippady,1 Bedroom,SWISU,2000,1,0,10000000
Super built-up  Area,Ready To Move,Vypin Pallipuram Road,3 BHK,OldTown,1300,2,1,6500000
Super built-up  Area,Ready To Move,Elamakkara,3 BHK,NAmes,4500,2,1,22500000
Plot  Area,Ready To Move,Vennala,3 Bedroom,NAmes,1600,3,3,8000000
Super built-up  Area,18-Mar,Panampilly Nagar,2 BHK,OldTown,1000,2,0,5000000
Super built-up  Area,Ready To Move,Perumbavoor,3 BHK,Sawyer,1630,2,1,8150000
Built-up  Area,18-May,Kalamassery,2 BHK,SawyerW,2000,2,1,10000000
Super built-up  Area,Ready To Move,Maradu,2 BHK,CollgCr,1600,2,1,8000000
Super built-up  Area,Ready To Move,Vaduthala,2 BHK,ClearCr,1350,2,3,6750000
Super built-up  Area,Ready To Move,Kakkanad Pallikara Road,4 BHK,Veenker,1500,6,2,7500000
Super built-up  Area,Ready To Move,vyttila,2 BHK,CollgCr,1600,2,1,8000000
Built-up  Area,Ready To Move,Vytilla,3 BHK,Blmngtn,2900,3,,14500000
Built-up  Area,Ready To Move,Angamaly,4 Bedroom,Crawfor,1200,4,0,6000000
Super built-up  Area,Ready To Move,Thammanam,4 BHK,NAmes,2255,4,,11275000
Built-up  Area,Ready To Move,Thevara,1 BHK,Sawyer,1400,1,0,7000000
Super built-up  Area,Ready To Move,Vazhakkala,3 BHK,Sawyer,1500,2,3,7500000
Super built-up  Area,Ready To Move,Pallikkara,2 BHK,CollgCr,1600,2,1,8000000
Plot  Area,Ready To Move,Thevakkal,6 Bedroom,Gilbert,2700,4,,13500000
Super built-up  Area,Ready To Move,Palarivattom,2 BHK,NWAmes,1200,2,1,6000000
Super built-up  Area,Ready To Move,Thrikkakara,3 BHK,NWAmes,4600,3,2,23000000
Super built-up  Area,Ready To Move,Nedumbassery,2 BHK,Crawfor,1650,2,1,8250000
Built-up  Area,Ready To Move,Ernakulam South,2 Bedroom,Sawyer,5520,2,0,27600000
Built-up  Area,Ready To Move,Padamughal,2 BHK,SawyerW,3900,2,1,19500000
Super built-up  Area,Ready To Move,Thykoodam,3 BHK,NAmes,1800,3,2,9000000
Super built-up  Area,Ready To Move,Elamkulam,3 BHK,Somerst,4500,3,1,22500000
Plot  Area,Ready To Move,Edathala,4 Bedroom,NAmes,1551,4,3,7755000
Super built-up  Area,18-Apr,Kangarappady,2 BHK,Timber,1600,2,1,8000000
Super built-up  Area,Ready To Move,Mamangalam,2 BHK,Sawyer,1955,2,1,9775000
Built-up  Area,18-Mar,Varapuzha,3 BHK,Gilbert,1550,3,1,7750000
Built-up  Area,Ready To Move,Mulanthuruthy,2 BHK,SawyerW,4820,2,1,24100000
Super built-up  Area,Ready To Move,Kathrikadavu,2 BHK,NAmes,1843,2,2,9215000
Plot  Area,Ready To Move,Kurlad Anganvadi Road,4 Bedroom,CollgCr,3640,4,1,18200000
Super built-up  Area,18-Apr,MG Road,2 BHK,NAmes,3000,2,1,15000000
Built-up  Area,Ready To Move,Kacheripady,3 BHK,NAmes,4500,3,3,22500000
Super built-up  Area,Ready To Move,Cheranalloor,3 BHK,OldTown,1300,4,3,6500000
Super built-up  Area,Ready To Move,Chambakkara Kannadikadu Road,2 BHK,Somerst,1000,2,1,5000000
Super built-up  Area,Ready To Move,Chottanikkara,3 BHK,Mitchel,2000,2,2,10000000
Super built-up  Area,Ready To Move,High Court Road,2 BHK,NridgHt,1700,2,2,8500000
Plot  Area,Ready To Move,Infopark,5 Bedroom,Sawyer,1800,4,0,9000000
Built-up  Area,Ready To Move,Kannankulangara,2 BHK,CollgCr,1200,1,1,6000000
Super built-up  Area,Ready To Move,Keerthi Nagar Road,3 BHK,Edwards,1200,2,1,6000000
Super built-up  Area,Ready To Move,Kochi,4 BHK,Timber,1700,3,,8500000
Super built-up  Area,Ready To Move,Kundannoor,2 BHK,Gilbert,1650,2,1,8250000
Super built-up  Area,Ready To Move,Manjummel,2 BHK,SWISU,1500,2,1,7500000
Built-up  Area,Ready To Move,Puthiyakavu,4 Bedroom,NAmes,2500,5,3,12500000
Super built-up  Area,Ready To Move,Sahodaran Ayyappan Road,2 BHK,Somerst,2500,2,2,12500000
Super built-up  Area,18-May,Shenoys,2 BHK,NAmes,2460,2,2,12300000
Super built-up  Area,Ready To Move,Thengode Edachira Road,3 BHK,Edwards,2800,3,2,14000000
Super built-up  Area,Ready To Move,Thiruvankulam Chottanikkara Road,2 BHK,NAmes,2466,2,2,12330000
Super built-up  Area,18-Jul,Thottakkattukara,2 BHK,NAmes,1650,2,2,8250000
Super built-up  Area,Ready To Move,Pallimukku,2 BHK,NAmes,810,2,2,4050000
Super built-up  Area,Ready To Move,Perumanoor,3 BHK,Sawyer,1250,3,2,6250000
Plot  Area,Ready To Move,Chittoor Road,2 Bedroom,Sawyer,3654,2,1,18270000
Super built-up  Area,Ready To Move,Chalikkavattom,2 BHK,Sawyer,3800,2,2,19000000
Super built-up  Area,19-Mar,Eroor South,3 BHK,SawyerW,1456,3,2,7280000
Super built-up  Area,Ready To Move,Fortkochi,4 BHK,NAmes,2456,4,2,12280000
Plot  Area,Ready To Move,Kadungalloor,5 Bedroom,IDOTRR,3654,4,1,18270000
Super built-up  Area,18-Dec,Kathrikadavu Railway Over Bridge,3 BHK,SawyerW,2250,3,2,11250000
Plot  Area,Ready To Move,Mini Bypass Tripunithura Road,4 Bedroom,NridgHt,4500,4,2,22500000
Super built-up  Area,18-Dec,Ponekkara,2 BHK,Sawyer,2000,2,1,10000000
Super built-up  Area,Ready To Move,Puthencruz,2 BHK,NAmes,1600,2,2,8000000
Super built-up  Area,Ready To Move,Chilavannoor,2 BHK,NAmes,5000,2,2,25000000
Super built-up  Area,Ready To Move,Thrikkakara North,3 BHK,Gilbert,5500,3,2,27500000
Built-up  Area,Ready To Move,Vazhakkulam,3 BHK,Gilbert,4500,3,,22500000
Super built-up  Area,Ready To Move,North Paravoor,3 BHK,Sawyer,2500,3,2,12500000
Built-up  Area,Ready To Move,Athani Mundapalam Road,3 BHK,NAmes,1200,3,3,6000000
Super built-up  Area,Ready To Move,Chakkaraparambu,3 BHK,Somerst,1000,2,1,5000000
Super built-up  Area,Ready To Move,Chembumukku Road,2 BHK,Crawfor,1350,2,1,6750000
Super built-up  Area,Ready To Move,Choornikkara,3 BHK,Mitchel,1435,3,3,7175000
Plot  Area,Ready To Move,Chullickal,4 Bedroom,Gilbert,1900,4,1,9500000
Plot  Area,Ready To Move,Elamakkara Road,4 Bedroom,NAmes,1800,4,2,9000000
Plot  Area,Ready To Move,Elamkulam Bridge,5 Bedroom,CollgCr,1500,4,,7500000
Super built-up  Area,Ready To Move,Ernakulam North Kathrikadavu,3 BHK,BrkSide,1800,4,2,9000000
Super built-up  Area,Ready To Move,Eroor Rd,2 BHK,Crawfor,1000,2,1,5000000
Plot  Area,Ready To Move,Ettumanoor Ernakulam Rd,3 Bedroom,Somerst,1300,3,2,6500000
Super built-up  Area,Ready To Move,Gandhi Nagar,3 BHK,MeadowV,3000,3,2,15000000
Plot  Area,Ready To Move,Hill Palace Road,4 Bedroom,IDOTRR,1500,4,2,7500000
Super built-up  Area,Ready To Move,Irumpanam,2 BHK,Edwards,1800,2,1,9000000
Super built-up  Area,21-Aug,Kadavanthara Road,2 BHK,SawyerW,2000,2,2,10000000
Super built-up  Area,Ready To Move,Kakkanad,2 BHK,NAmes,5000,2,2,25000000
Super built-up  Area,18-May,Kakkanad NGO Quarters Road,2 BHK,SawyerW,2500,2,1,12500000
Super built-up  Area,Ready To Move,Kakkanad Road,2 BHK,Edwards,1500,2,2,7500000
Super built-up  Area,Ready To Move,Kaladi,4 BHK,Gilbert,1300,4,3,6500000
Plot  Area,Ready To Move,Kannamkulangara Road,4 Bedroom,SawyerW,1050,2,1,5250000
Super built-up  Area,Ready To Move,Karukutty,3 BHK,NWAmes,1600,2,2,8000000
Built-up  Area,16-Mar,Kochi Madurai Dhanushkodi Road,2 Bedroom,NWAmes,1200,2,0,6000000
Super built-up  Area,Ready To Move,Kollamkudimugal,3 BHK,NridgHt,3500,2,2,17500000
Built-up  Area,Ready To Move,KP Vallon Road,2 BHK,NWAmes,1350,2,2,6750000
Built-up  Area,Ready To Move,Mulavukad,3 BHK,CollgCr,4350,2,0,21750000
Super built-up  Area,Ready To Move,Muppathadam Road,3 BHK,Gilbert,1900,3,2,9500000
Super built-up  Area,Ready To Move,Muttambalam Village Kottayam,3 BHK,Timber,1800,3,3,9000000
Super built-up  Area,Ready To Move,Muvattupuzha,3 BHK,NAmes,3500,2,2,17500000
Super built-up  Area,18-Jun,Naroth Road,3 BHK,Somerst,4800,2,2,24000000
Super built-up  Area,Ready To Move,Nettoor,3 BHK,CollgCr,5000,3,3,25000000
Plot  Area,Ready To Move,Pachalam,4 Bedroom,NAmes,1300,4,0,6500000
Super built-up  Area,Ready To Move,Palluruthy,4 BHK,BrkSide,2000,6,2,10000000
Super built-up  Area,Ready To Move,Panchayat Road,2 BHK,SawyerW,1258,2,1,6290000
Super built-up  Area,Ready To Move,Periyar Nagar,3 BHK,Somerst,1800,3,2,9000000
Super built-up  Area,Ready To Move,Pinarmunda Infopark Short Road,2 BHK,CollgCr,1600,2,1,8000000
Super built-up  Area,20-Jan,Poonithura,1 BHK,ClearCr,1385,1,0,6925000
Built-up  Area,Ready To Move,Pukkattupady Road,3 BHK,Mitchel,2500,3,2,12500000
Built-up  Area,Ready To Move,Pullepady,2 BHK,Gilbert,2000,2,2,10000000
Super built-up  Area,Ready To Move,Puthiya Road,1 BHK,Edwards,1300,1,1,6500000
Plot  Area,Ready To Move,Salem Kochi Highway,5 Bedroom,Mitchel,4500,6,3,22500000
Plot  Area,Ready To Move,Satellite Township Padamughal,3 Bedroom,Timber,1600,2,1,8000000
Super built-up  Area,Ready To Move,SRM Road,2 BHK,OldTown,1000,2,1,5000000
Super built-up  Area,Ready To Move,Thevara Ferry Road,3 BHK,NAmes,1630,3,3,8150000
Super built-up  Area,Ready To Move,Vidya Nagar Colony Thrikkakara,1 BHK,Timber,2000,2,1,10000000
Super built-up  Area,Ready To Move,Warriyam Road,2 BHK,CollgCr,1600,2,3,8000000
Super built-up  Area,Ready To Move,Ayyappankavu,3 BHK,NWAmes,1350,3,3,6750000
Built-up  Area,Ready To Move,Valummel,4 Bedroom,NAmes,1500,4,0,7500000
Super built-up  Area,Ready To Move,Edakochi,2 BHK,SawyerW,1600,2,2,8000000
Plot  Area,Ready To Move,Panayappilly,1 Bedroom,CollgCr,2900,1,1,14500000
Super built-up  Area,Ready To Move,South Chittoor,2 BHK,Mitchel,1200,2,1,6000000
Super built-up  Area,Ready To Move,Eloor,2 BHK,Edwards,2255,2,3,11275000
Super built-up  Area,Ready To Move,Kunnathunad,2 BHK,Crawfor,1400,2,2,7000000
Super built-up  Area,Ready To Move,Veliyathunadu,3 BHK,Blueste,1500,3,2,7500000
Built-up  Area,Ready To Move,Koonammavu,2 Bedroom,Sawyer,1600,2,0,8000000
Super built-up  Area,Ready To Move,Puthenkurish,3 BHK,CollgCr,2700,3,3,13500000
Plot  Area,19-Jan,Kunnukara,2 Bedroom,Somerst,1200,1,1,6000000
Plot  Area,Ready To Move,Kolenchery,4 Bedroom,BrkSide,4600,6,3,23000000
Super built-up  Area,Ready To Move,A z a d Road,2 BHK,NWAmes,1650,2,2,8250000
Super built-up  Area,Ready To Move,Alappuzha,2 BHK,NPkVill,5520,2,2,27600000
Super built-up  Area,Ready To Move,Alappuzha Arthunkal Kochi Road,2 BHK,CollgCr,3900,2,0,19500000
