area_type,price,total_sqft,location,size,availability,bath,balcony,SwimmingPool,society,JoggingTrack,RainWaterHarvesting,IndoorGames,ShoppingMall,Intercom,SportsFacility,ATM,ClubHouse,School,24X7Security,PowerBackup,CarParking,StaffQuarter,Cafeteria,MultipurposeRoom,Hospital,WashingMachine,Gasconnection,AC,Wifi,Children'splayarea,LiftAvailable,BED,VaastuCompliant,Microwave,GolfCourse,TV,DiningTable,Sofa,Wardrobe,Refrigerator
Super built-up  Area,8874000,1305,Muneshwara Nagar,3 BHK,Ready To Move,2,1,1,PuendWe,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Built-up  Area,8492000,1205,Muneshwara Nagar,7 BHK,Ready To Move,7,1,1,,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,7767000,1195,Muneshwara Nagar,2 BHK,Ready To Move,2,1,1,AlEcone,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,7000000,1375,Narayanapura on Hennur Main Road,4 BHK,18-May,4,1,1,Jaades ,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Super built-up  Area,7000000,1375,Narayanapura on Hennur Main Road,2 BHK,Ready To Move,2,1,1,Prncyrn,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Super built-up  Area,14700000,1545,BTM Layout,3 BHK,19-Dec,3,1,1,SheldGr,1,1,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,8435000,1205,Muneshwara Nagar,3 BHK,Ready To Move,3,1,1,Bamita ,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,8365000,1195,Muneshwara Nagar,2 BHK,18-Jun,2,1,1,DSestSt,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Plot  Area,7831999,1205,Muneshwara Nagar,3 Bedroom,Ready To Move,2,1,1,,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,8435000,1205,Muneshwara Nagar,2 BHK,18-Nov,2,1,1,VBn 2lm,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,8365000,1195,Muneshwara Nagar,2 BHK,Ready To Move,2,1,1,Saageat,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,8874000,1305,Muneshwara Nagar,2 BHK,Ready To Move,2,1,1,Dhalsh ,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Built-up  Area,8365000,1195,Muneshwara Nagar,2 BHK,Ready To Move,2,1,1,,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,8492000,1205,Muneshwara Nagar,2 BHK,Ready To Move,2,1,1,SyidaCr,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,7767000,1195,Muneshwara Nagar,2 BHK,Ready To Move,2,1,1,,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,13899999,1545,BTM Layout,3 BHK,Ready To Move,2,1,1,,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,13899999,1545,BTM Layout,3 BHK,Ready To Move,3,1,1,Prlla C,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Plot  Area,13899999,1545,BTM Layout,4 Bedroom,Ready To Move,4,1,1,,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Plot  Area,13899999,1545,BTM Layout,2 Bedroom,Ready To Move,2,1,1,,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,13899999,1545,BTM Layout,3 BHK,Ready To Move,3,1,1,,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,13899999,1545,BTM Layout,2 BHK,Ready To Move,2,1,1,Sondaka,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Built-up  Area,10800000,1901,RR Nagar,1 BHK,Ready To Move,1,1,1,Saiewas,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Super built-up  Area,10800000,1901,RR Nagar,2 BHK,18-Jul,2,1,1,MJtroty,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Super built-up  Area,7900000,1337,RR Nagar,3 BHK,Ready To Move,3,1,1,PadgeOa,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Super built-up  Area,7900000,1337,RR Nagar,2 BHK,Ready To Move,2,1,1,Prarkun,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Plot  Area,13799999,1978,Kumaraswamy Layout,2 Bedroom,Ready To Move,2,1,1,,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Plot  Area,9436000,1505,Jalahalli,2 Bedroom,Ready To Move,2,1,1,Clood E,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Built-up  Area,8700000,1535,Electronic City Phase 2,2 BHK,Ready To Move,2,1,1,,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1
Built-up  Area,6400000,1110,Electronic City Phase 2,2 BHK,Ready To Move,2,1,1,,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1
Super built-up  Area,9200000,1455,JP Nagar Phase 7,3 BHK,Ready To Move,2,1,1,,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1
Super built-up  Area,7000000,1105,JP Nagar Phase 8,2 BHK,Ready To Move,2,1,1,Mames M,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1
Built-up  Area,8200000,1271,Kannur on Thanisandra Main Road,4 Bedroom,19-Mar,4,1,1,Gollela,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1
Super built-up  Area,6300000,1078,Kannur on Thanisandra Main Road,2 BHK,18-Oct,2,1,1,,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1
Super built-up  Area,27799999,3273,Bellandur,2 BHK,Ready To Move,2,1,1,DLhtsen,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Super built-up  Area,22900000,2697,Bellandur,2 BHK,18-Jun,2,1,1,,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Super built-up  Area,45000000,5300,Bellandur,3 BHK,Ready To Move,3,1,1,Soitya ,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Super built-up  Area,30800000,3633,Bellandur,2 BHK,Ready To Move,2,1,1,SirlsPe,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Plot  Area,45700000,5384,Bellandur,4 Bedroom,Ready To Move,4,1,1,,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Built-up  Area,36400000,4289,Bellandur,2 BHK,Ready To Move,2,1,1,,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Super built-up  Area,7900000,1393,RR Nagar,3 BHK,Ready To Move,3,1,1,SoniaPe,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Super built-up  Area,113400000,4977,Richmond Town,3 BHK,Ready To Move,3,1,1,Adeatlm,1,1,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Built-up  Area,10600000,1635,Yelahanka,2 BHK,Ready To Move,2,1,1,,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Super built-up  Area,10600000,1635,Yelahanka,3 BHK,Ready To Move,3,1,1,Muncy R,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Plot  Area,9200000,1475,Yelahanka,2 Bedroom,17-Jul,3,1,1,,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Built-up  Area,8700000,1360,Jalahalli,4 Bedroom,Ready To Move,4,1,1,InllaPa,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,10100000,1560,Yelahanka,3 BHK,Ready To Move,3,1,1,Brway G,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Built-up  Area,8570000,1405,Jalahalli,2 BHK,19-Mar,2,1,1,GKncysi,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,8700000,1360,Jalahalli,2 BHK,Ready To Move,2,1,1,SGiewrk,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,8025000,1408,RR Nagar,3 BHK,Ready To Move,3,1,1,,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Super built-up  Area,4300000,1076,Begur,3 BHK,Ready To Move,3,1,0,,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,11399999,1841,Ramamurthy Nagar,1 BHK,Ready To Move,1,1,1,,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Plot  Area,6300000,1183,Jalahalli,9 Bedroom,Ready To Move,9,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,10300000,1620,Yelahanka,2 BHK,Ready To Move,2,1,1,AnaveEn,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Plot  Area,11500000,1869,Ramamurthy Nagar,6 Bedroom,Ready To Move,6,1,1,,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Super built-up  Area,7900000,1337,RR Nagar,3 BHK,18-Mar,2,1,1,,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Built-up  Area,8700000,1360,Jalahalli,3 Bedroom,Ready To Move,2,1,1,,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,10100000,1470,Hosa Road,3 BHK,18-Apr,3,1,1,,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
Super built-up  Area,10800000,1575,Hosa Road,3 BHK,Ready To Move,3,1,1,Sahtsva,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
Plot  Area,9446000,1360,Hosa Road,2 Bedroom,Ready To Move,2,1,1,,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
Built-up  Area,11700000,1715,Hosa Road,1 BHK,Ready To Move,1,1,1,,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
Plot  Area,8306999,1184,Hosa Road,4 Bedroom,Ready To Move,2,1,1,SLncyaj,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
Super built-up  Area,4883000,655,Hosa Road,3 BHK,18-May,3,1,1,,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
Built-up  Area,11500000,1680,Hosa Road,4 Bedroom,Ready To Move,6,1,1,ColeyNa,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
Super built-up  Area,8378000,1195,Hosa Road,2 BHK,Ready To Move,2,1,1,Samesan,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
Super built-up  Area,5951000,820,Hosa Road,3 BHK,Ready To Move,3,1,1,VBavaai,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
Super built-up  Area,6884999,1215,Varthur,2 BHK,Ready To Move,2,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,7959999,1290,Electronic City Phase 2,3 BHK,Ready To Move,2,9,9,Vaour S,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Plot  Area,7975000,1505,Electronic City Phase 2,8 Bedroom,Ready To Move,12,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,7625000,1535,Electronic City Phase 2,3 BHK,18-Apr,2,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Built-up  Area,5760000,1465,Electronic City Phase 2,2 BHK,Ready To Move,2,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,6884999,1075,Electronic City Phase 2,3 BHK,Ready To Move,3,9,9,MauilTr,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,6331000,1290,Electronic City Phase 2,2 BHK,Ready To Move,2,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,15700000,1045,Electronic City Phase 2,2 BHK,Ready To Move,2,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,14500000,1846,Narayanapura on Hennur Main Road,3 BHK,18-Dec,3,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,13700000,1630,Narayanapura on Hennur Main Road,3 BHK,Ready To Move,2,9,9,MaaveEn,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,10800000,1482,Narayanapura on Hennur Main Road,2 BHK,Ready To Move,2,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,10500000,1232,Narayanapura on Hennur Main Road,3 BHK,Ready To Move,2,9,9,Soe 2as,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,8200000,2305,Bileshivale,2 BHK,Ready To Move,2,9,9,Prareth,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,7800000,1047,Brookefield,1 BHK,Ready To Move,1,9,9,NiarkHy,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,9990000,1047,Brookefield,3 BHK,Ready To Move,3,9,9,Sholaya,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,12400000,1397,Brookefield,2 BHK,19-Jul,2,9,9,Soazak ,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,20000000,1724,Brookefield,1 BHK,Ready To Move,1,9,9,Kaamai ,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,5100000,2278,Nagawara,2 BHK,Ready To Move,2,9,9,Sulla S,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,6400000,1145,Electronic City Phase 1,3 BHK,Ready To Move,3,9,9,Sodgere,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,5400000,1073,JP Nagar Phase 9,3 BHK,18-Jul,3,9,9,Rosha I,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,8900000,935,Budigere Cross,3 BHK,Ready To Move,3,9,9,GrrvaGr,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,8900000,1500,Jalahalli,2 BHK,Ready To Move,2,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Built-up  Area,23500000,1500,Jalahalli,2 BHK,Ready To Move,2,9,9,Arade A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Plot  Area,9200000,3613,Whitefield,3 Bedroom,18-Dec,3,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,6600000,1475,Yelahanka,3 BHK,18-Dec,2,9,9,DSdidSp,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,4940000,1576,Begur,4 BHK,Ready To Move,3,9,9,K dotna,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,6600000,1235,Begur,3 BHK,Ready To Move,2,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Plot  Area,4670000,1576,Begur,3 Bedroom,Ready To Move,5,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Plot  Area,4340000,1184,Singasandra,8 Bedroom,Ready To Move,12,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Plot  Area,6690000,1099,Singasandra,3 Bedroom,Ready To Move,2,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,5690000,1610,Begur,2 BHK,Ready To Move,2,9,9,Soikaa ,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Built-up  Area,6650000,1442,Singasandra,3 BHK,Ready To Move,2,9,9,Suncy R,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,6650000,1610,Begur,2 BHK,Ready To Move,2,9,9,AnncyRe,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Plot  Area,7540000,1610,Begur,4 Bedroom,Ready To Move,4,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Plot  Area,9685000,1160,Banaswadi,4 Bedroom,Ready To Move,2,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,7150000,1490,Banaswadi,3 BHK,Ready To Move,3,9,9,Bregae ,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,5150000,1100,Banaswadi,3 BHK,Ready To Move,3,9,9,PuontBe,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Built-up  Area,6555000,1235,Begur,2 BHK,Ready To Move,2,9,9,Kinumsh,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,7500000,1576,Begur,3 BHK,Ready To Move,3,9,9,SaireSa,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Built-up  Area,9500000,1060,Harlur,2 BHK,Ready To Move,1,9,9,Prensin,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,9810000,1264,Harlur,2 BHK,Ready To Move,2,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,9640000,1759,Begur,3 BHK,18-May,2,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Built-up  Area,9240000,1728,Begur,2 BHK,Ready To Move,2,9,9,DSgam S,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,9140000,1653,Begur,2 BHK,20-Jun,2,9,9,Saityat,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Plot  Area,9120000,1634,Begur,7 Bedroom,Ready To Move,7,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Built-up  Area,9020000,1631,Begur,2 BHK,Ready To Move,2,9,9,Siise R,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,8940000,1614,Begur,1 BHK,19-Oct,1,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,7950000,1598,Begur,3 BHK,18-Jul,3,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,7940000,1376,Begur,3 BHK,19-Dec,3,9,9,GoityEt,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,7930000,1375,Begur,4 BHK,17-Oct,4,9,9,NiCodCa,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,7900000,1372,Begur,1 BHK,18-Jun,2,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Built-up  Area,7850000,1368,Begur,1 BHK,Ready To Move,1,9,9,Jeshan ,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Built-up  Area,7050000,1358,Begur,2 BHK,Ready To Move,2,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,7180000,1210,Begur,3 BHK,Ready To Move,4,9,9,Sariaat,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,7220000,1235,Begur,2 BHK,Ready To Move,2,9,9,Rencyed,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Plot  Area,7140000,1241,Begur,2 Bedroom,Ready To Move,1,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,3940000,1227,Begur,1 BHK,Ready To Move,2,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,7900000,644,Begur,3 BHK,Ready To Move,3,9,9,Soiewre,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,7100000,1368,Begur,3 BHK,Ready To Move,2,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,6980000,1220,Begur,3 BHK,Ready To Move,4,9,9,Prurten,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,3940000,1197,Begur,3 BHK,Ready To Move,4,9,9,GonumPl,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,12600000,644,Begur,3 BHK,Ready To Move,3,9,9,Reicace,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
