id,area_type,price,total_sqft,location,size,availability,bath,balcony,society,YearBuilt,YearRemodAdd,MoSold,YrSold,MSSubClass,LotFrontage,1stFlrSF,2ndFlrSF,Gymnasium,LandscapedGardens,ATM,School,CarParking,Hospital,OverallQual,OverallCond,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea
749,Super built-up  Area,2700000,550,Dwarka Mor,2 BHK,Ready To Move,1,1,NoRidge,1996,1996,3,2010,20,59,1720,0,0,0,0,0,0,0,7,5,338,919,0,801,1720,1720,0,0,1720
750,Plot  Area,5000000,950,Uttam Nagar,4 Bedroom,Ready To Move,2,1,Edwards,1945,1950,4,2009,50,50,1088,441,0,0,0,0,0,0,4,3,0,0,0,0,0,1088,441,0,1529
751,Super built-up  Area,4575000,1000,Uttam Nagar,3 BHK,18-Dec,2,1,OldTown,1910,2004,6,2010,50,55,792,348,0,0,0,0,0,0,4,7,0,0,0,576,576,792,348,0,1140
752,Super built-up  Area,16000000,1700,Sector 10 Dwarka,2 BHK,Ready To Move,1,1,Gilbert,2003,2003,8,2007,60,NA,660,660,0,0,0,0,1,0,7,5,0,0,0,660,660,660,660,0,1320
753,Super built-up  Area,5150000,900,Uttam Nagar,2 BHK,Ready To Move,2,1,CollgCr,1997,1997,7,2006,20,79,1494,0,1,0,0,0,0,0,6,5,0,1200,0,279,1479,1494,0,0,1494
754,Super built-up  Area,9200000,1450,Uttam Nagar,4 BHK,18-Dec,2,1,NridgHt,2005,2005,3,2006,60,80,1038,1060,1,0,0,0,0,0,8,5,178,0,0,1030,1030,1038,1060,0,2098
755,Super built-up  Area,7000000,1080,Dwarka Mor,2 BHK,Ready To Move,2,1,NAmes,1969,2005,7,2009,20,61,1026,0,0,0,0,0,1,0,6,8,0,439,472,115,1026,1026,0,0,1026
756,Super built-up  Area,2800000,500,Dwarka Mor,3 BHK,Ready To Move,1,1,Somerst,1999,1999,3,2009,160,34,742,729,0,0,0,0,1,0,6,5,894,381,0,348,729,742,729,0,1471
757,Super built-up  Area,2200000,450,Dwarka Mor,2 BHK,Ready To Move,2,1,CollgCr,2007,2007,4,2009,60,68,866,902,0,0,0,0,1,0,8,5,0,20,0,846,866,866,902,0,1768
758,Plot  Area,3700000,675,Dwarka Mor,5 Bedroom,Ready To Move,2,1,Sawyer,1978,1978,4,2010,60,NA,672,714,0,0,0,0,1,0,6,5,328,438,0,234,672,672,714,0,1386
759,Super built-up  Area,10000000,1485,Dwarka Mor,2 BHK,Ready To Move,2,1,Somerst,1999,1999,8,2008,160,24,757,744,0,0,0,0,1,0,7,5,360,549,0,195,744,757,744,0,1501
760,Plot  Area,4700000,875,Dwarka Mor,4 Bedroom,18-Nov,2,1,NoRidge,1995,1995,11,2007,60,65,1328,1203,0,0,0,0,1,0,8,5,513,56,64,1198,1318,1328,1203,0,2531
761,Super built-up  Area,7000000,1080,Dwarka Mor,2 BHK,18-Aug,2,1,NAmes,1959,1959,10,2009,20,70,864,0,0,0,0,0,1,0,6,6,0,612,0,252,864,864,0,0,864
762,Super built-up  Area,4100000,750,Dwarka Mor,2 BHK,Ready To Move,1,1,BrkSide,1924,1950,10,2009,30,60,1301,0,0,0,0,0,1,0,5,5,0,405,0,740,1145,1301,0,0,1301
763,Super built-up  Area,3500000,600,Dwarka Mor,2 BHK,Ready To Move,1,1,Somerst,2009,2009,6,2010,60,72,764,783,0,0,0,0,1,0,7,5,0,24,0,732,756,764,783,0,1547
764,Super built-up  Area,2300000,480,Dwarka Mor,1 BHK,Ready To Move,2,1,NoRidge,1999,1999,7,2009,60,82,1268,1097,0,0,0,0,1,0,8,5,673,1163,0,89,1252,1268,1097,0,2365
765,Super built-up  Area,4242000,850,Uttam Nagar,2 BHK,Ready To Move,2,1,Veenker,1995,1996,4,2006,120,30,1494,0,1,0,0,0,0,0,8,5,0,437,1057,0,1494,1494,0,0,1494
766,Built-up  Area,12200000,1300,Sector 19 Dwarka,3 BHK,Ready To Move,1,1,Somerst,2008,2008,8,2008,20,75,1506,0,0,1,0,0,1,0,9,5,284,0,0,1498,1498,1506,0,0,1506
767,Super built-up  Area,11500000,1300,Sector 3 Dwarka,2 BHK,Ready To Move,2,1,NWAmes,1988,1988,3,2010,60,80,980,734,0,1,0,0,1,0,7,5,42,394,0,586,980,980,734,0,1714
768,Plot  Area,12400000,1350,Rohini sector 24,5 Bedroom,Ready To Move,2,1,Mitchel,1940,1985,7,2008,50,75,983,767,0,0,0,0,0,0,6,7,0,660,0,323,983,983,767,0,1750
769,Super built-up  Area,5100000,900,Palam,3 BHK,Ready To Move,2,1,CollgCr,2004,2005,10,2006,20,70,1836,0,0,0,0,0,0,0,7,5,0,24,0,1836,1860,1836,0,0,1836
770,Super built-up  Area,3500000,850,Uttam Nagar,2 BHK,Ready To Move,2,1,StoneBr,2003,2003,6,2010,60,47,1690,1589,1,0,0,0,0,0,8,5,603,1416,0,234,1650,1690,1589,0,3279
771,Plot  Area,11000000,1000,Sector 13 Rohini,9 Bedroom,Ready To Move,3,1,Sawyer,1982,1982,4,2009,85,NA,858,0,0,0,0,0,0,0,5,5,0,685,0,173,858,858,0,0,858
772,Super built-up  Area,2500000,450,Sector 28 Rohini,2 BHK,Ready To Move,1,1,Edwards,1951,1951,4,2006,20,67,1220,0,0,0,0,0,0,0,4,5,0,836,0,0,836,1220,0,0,1220
773,Super built-up  Area,12500000,850,Rohini Sector 9,2 BHK,20-Dec,1,1,Edwards,1976,1976,3,2010,80,94,1117,0,0,0,0,0,0,0,6,5,0,422,127,480,1029,1117,0,0,1117
774,Super built-up  Area,2800000,650,Uttam Nagar,3 BHK,Ready To Move,1,1,NAmes,1958,1958,7,2007,20,70,912,0,1,0,0,0,0,0,5,5,1,456,0,456,912,912,0,0,912
775,Built-up  Area,5100000,900,Uttam Nagar,2 BHK,Ready To Move,1,1,NridgHt,2006,2006,7,2007,20,110,1973,0,1,0,0,0,0,0,8,5,375,0,0,1935,1935,1973,0,0,1973
776,Built-up  Area,2751000,650,Uttam Nagar,1 BHK,Ready To Move,2,1,Mitchel,1998,1998,6,2009,120,32,1204,0,1,0,0,0,0,0,6,5,320,866,0,338,1204,1204,0,0,1204
777,Super built-up  Area,3800000,675,Bindapur,3 BHK,Ready To Move,2,1,CollgCr,2005,2006,7,2006,20,86,1614,0,0,0,0,0,0,0,7,5,240,20,0,1594,1614,1614,0,0,1614
778,Super built-up  Area,4000000,500,Sector 24 Rohini,2 BHK,Ready To Move,2,1,Sawyer,1974,1974,6,2006,20,100,894,0,0,0,0,0,1,0,5,5,0,762,0,102,864,894,0,0,894
779,Super built-up  Area,3400000,400,Sector 24 Rohini,3 BHK,Ready To Move,1,1,SawyerW,1977,1977,10,2007,90,60,2020,0,0,0,0,0,1,0,5,5,320,0,0,0,0,2020,0,0,2020
780,Super built-up  Area,2699000,350,Sector 24 Rohini,3 BHK,Ready To Move,2,1,Mitchel,1977,1977,5,2006,90,78,1004,0,0,0,0,0,1,0,6,5,90,975,0,0,975,1004,0,0,1004
781,Super built-up  Area,4600000,650,Sector 24 Rohini,2 BHK,Ready To Move,1,1,Gilbert,1995,1996,6,2007,20,63,1253,0,0,0,0,0,1,0,7,5,38,0,0,1237,1237,1253,0,0,1253
782,Super built-up  Area,11500000,1125,Sector 23 Rohini,2 BHK,Ready To Move,2,1,SawyerW,1992,1992,7,2006,60,65,810,793,0,0,0,0,0,0,6,5,0,387,0,374,761,810,793,0,1603
783,Super built-up  Area,11500000,1375,Rohini Extension,1 RK,Ready To Move,2,1,CollgCr,2001,2002,6,2009,20,67,1430,0,0,0,0,0,0,0,7,5,0,0,0,1413,1413,1430,0,0,1430
784,Built-up  Area,3200000,650,Uttam Nagar,6 Bedroom,Ready To Move,2,1,Mitchel,1978,1978,7,2009,85,NA,1110,0,1,0,0,0,0,0,5,6,104,1097,0,0,1097,1110,0,0,1110
785,Super built-up  Area,21000000,2200,Sector 5 Dwarka,3 BHK,Ready To Move,1,1,OldTown,1914,2001,6,2008,75,35,742,742,0,0,0,0,1,0,6,6,0,0,0,742,742,742,742,0,1484
786,Super built-up  Area,17300000,1650,Sector 22 Dwarka,3 BHK,Ready To Move,2,1,NWAmes,1967,1967,9,2009,20,NA,1342,0,1,0,0,0,0,0,6,5,0,251,630,491,1372,1342,0,0,1342
787,Super built-up  Area,10500000,980,Vasant Kunj,2 BHK,Ready To Move,2,1,OldTown,1915,1950,6,2010,50,60,966,686,0,1,0,0,1,0,5,6,0,686,0,0,686,966,686,0,1652
788,Super built-up  Area,14800000,1600,Sector 22 Dwarka,4 BHK,Ready To Move,2,1,SawyerW,2004,2004,1,2010,60,76,956,1128,0,0,0,0,0,0,7,5,0,656,0,300,956,956,1128,0,2084
789,Plot  Area,14800000,1600,Sector 22 Dwarka,4 Bedroom,Ready To Move,2,1,OldTown,1954,2000,8,2008,20,50,901,0,0,0,0,0,0,0,4,7,0,0,0,901,901,901,0,0,901
790,Plot  Area,4200000,850,Uttam Nagar,6 Bedroom,Ready To Move,1,1,ClearCr,1966,2007,7,2007,60,NA,976,1111,0,0,0,0,0,0,6,8,157,568,0,264,832,976,1111,0,2087
791,Super built-up  Area,4700000,820,Uttam Nagar,3 BHK,18-Oct,2,1,Blmngtn,2005,2006,9,2009,120,43,1145,0,0,0,0,0,1,0,7,5,11,16,0,1129,1145,1145,0,0,1145
792,Super built-up  Area,2399000,525,Uttam Nagar,2 BHK,19-Feb,2,1,Mitchel,1976,1976,5,2007,80,NA,1062,0,0,0,0,0,1,0,6,5,0,539,0,490,1029,1062,0,0,1062
793,Super built-up  Area,7500000,1350,Uttam Nagar,2 BHK,Ready To Move,1,1,NoRidge,1996,1997,6,2007,60,92,1127,886,0,0,0,0,1,0,7,5,0,862,0,255,1117,1127,886,0,2013
794,Built-up  Area,4199000,850,Uttam Nagar,2 BHK,Ready To Move,2,1,Somerst,2007,2007,6,2007,20,76,1496,0,0,0,0,0,1,0,8,5,140,0,0,1496,1496,1496,0,0,1496
795,Built-up  Area,2700000,625,Uttam Nagar,7 Bedroom,Ready To Move,2,1,Gilbert,1994,1996,10,2008,60,NA,1086,809,0,0,0,0,1,0,7,5,0,0,0,712,712,1086,809,0,1895
796,Super built-up  Area,3500000,750,Uttam Nagar,3 BHK,Ready To Move,2,1,SawyerW,1980,1981,4,2010,60,70,888,676,0,0,0,0,1,0,6,6,130,0,0,650,650,888,676,0,1564
797,Super built-up  Area,10500000,1250,Sector 3 Dwarka,2 BHK,Ready To Move,2,1,Sawyer,1977,1977,4,2007,20,71,1285,0,0,1,0,0,1,0,6,5,148,0,0,660,660,1285,0,0,1285
798,Super built-up  Area,16000000,1700,Sector 18A Dwarka,2 BHK,Ready To Move,1,1,NAmes,1953,1953,4,2008,20,57,773,0,0,0,0,0,0,0,5,5,0,570,0,203,773,773,0,0,773
799,Super built-up  Area,14500000,1600,Sector 4 Dwarka,2 BHK,Ready To Move,1,1,NridgHt,2008,2009,7,2009,60,104,1966,1174,0,0,0,0,0,0,9,5,860,0,0,1926,1926,1966,1174,0,3140
800,Super built-up  Area,12500000,1300,Sector 19 Dwarka,3 BHK,Ready To Move,3,1,SWISU,1937,1950,6,2007,50,60,981,787,0,1,0,0,1,0,5,7,252,569,0,162,731,981,787,0,1768
801,Super built-up  Area,12500000,1300,Sector 19 Dwarka,3 BHK,Ready To Move,1,1,ClearCr,1997,1997,5,2008,60,79,616,1072,0,1,0,0,1,0,6,5,0,462,0,154,616,616,1072,0,1688
802,Super built-up  Area,2300000,540,Uttam Nagar,4 BHK,18-Dec,2,1,IDOTRR,1916,1990,7,2007,30,40,1196,0,0,0,0,0,0,0,4,7,0,197,0,999,1196,1196,0,0,1196
803,Super built-up  Area,2251000,500,Dwarka Mor,2 BHK,Ready To Move,1,1,CollgCr,2005,2005,10,2008,60,63,728,728,0,0,0,0,0,0,7,5,0,648,0,80,728,728,728,0,1456
804,Super built-up  Area,2200000,540,Dwarka Mor,2 BHK,Ready To Move,2,1,NridgHt,2008,2009,1,2009,60,107,1734,1088,0,0,0,0,0,0,9,5,424,0,0,1734,1734,1734,1088,0,2822
805,Built-up  Area,2200000,540,Dwarka Mor,2 BHK,Ready To Move,3,1,NAmes,1954,1954,6,2006,20,75,1128,0,0,0,0,0,0,0,5,5,0,812,0,124,936,1128,0,0,1128
806,Super built-up  Area,10500000,1200,Sector 7 Dwarka,3 BHK,Ready To Move,1,1,Somerst,2008,2008,7,2008,20,91,1428,0,1,0,0,0,0,0,7,5,256,0,0,1417,1417,1428,0,0,1428
807,Built-up  Area,20500000,2300,Sector 4 Dwarka,2 BHK,Ready To Move,2,1,NAmes,1967,1967,10,2006,80,75,980,0,0,0,0,0,0,0,5,5,0,400,480,100,980,980,0,0,980
808,Plot  Area,17600000,1700,Sector 6 Dwarka,4 Bedroom,Ready To Move,2,1,BrkSide,1923,2004,5,2009,70,144,1072,504,1,0,1,1,1,1,5,6,0,1309,0,15,1324,1072,504,0,1576
809,Super built-up  Area,2700000,540,Dwarka Mor,3 BHK,Ready To Move,1,1,NAmes,1966,1966,6,2006,80,85,1086,0,0,0,0,0,0,0,5,5,1047,516,128,380,1024,1086,0,0,1086
810,Built-up  Area,4799000,900,Dwarka Mor,3 BHK,Ready To Move,1,1,OldTown,1898,1965,11,2009,75,90,1075,1063,0,0,0,0,0,0,5,5,0,0,0,849,849,1075,1063,0,2138
811,Plot  Area,4099000,740,Dwarka Mor,4 Bedroom,18-Apr,2,1,NWAmes,1974,1999,1,2006,20,78,1309,0,0,0,0,0,0,0,6,6,99,663,377,0,1040,1309,0,0,1309
812,Super built-up  Area,2449000,495,Dwarka Mor,4 BHK,18-Jul,1,1,CollgCr,2004,2004,6,2008,120,NA,848,0,0,0,0,0,0,0,6,5,169,662,0,186,848,848,0,0,848
813,Super built-up  Area,2399000,477,Dwarka Mor,2 BHK,Ready To Move,1,1,IDOTRR,1952,1952,6,2010,20,66,1044,0,0,0,0,0,0,0,5,5,0,0,0,540,540,1044,0,0,1044
814,Super built-up  Area,3500000,630,Dwarka Mor,2 BHK,17-Jul,1,1,NAmes,1958,1958,4,2007,20,75,1442,0,0,0,0,0,0,0,6,6,243,608,0,834,1442,1442,0,0,1442
815,Built-up  Area,4300000,765,Dwarka Mor,2 BHK,Ready To Move,1,1,Edwards,1918,1950,7,2006,50,45,686,564,0,0,0,0,0,0,5,7,0,0,0,686,686,686,564,0,1250
816,Super built-up  Area,4000000,720,Dwarka Mor,2 BHK,18-Aug,1,1,CollgCr,1998,1998,5,2010,20,48,1661,0,0,0,0,0,0,0,7,5,442,0,0,1649,1649,1661,0,0,1661
817,Built-up  Area,6500000,1080,Dwarka Mor,1 BHK,Ready To Move,2,1,NAmes,1954,1954,7,2006,20,NA,1008,0,0,0,0,0,0,0,5,6,0,486,0,522,1008,1008,0,0,1008
818,Super built-up  Area,2200000,450,Dwarka Mor,2 BHK,Ready To Move,1,1,Mitchel,2002,2002,7,2008,20,NA,1689,0,0,0,0,0,0,0,8,5,148,1218,0,350,1568,1689,0,0,1689
819,Super built-up  Area,5800000,855,Dwarka Mor,3 BHK,Ready To Move,2,1,ClearCr,1971,1971,6,2010,80,80,1052,0,0,0,0,0,0,0,6,7,80,504,0,506,1010,1052,0,0,1052
820,Super built-up  Area,5200000,990,Dwarka Mor,4 BHK,Ready To Move,1,1,NridgHt,2009,2010,6,2010,120,44,1358,0,0,0,0,0,0,0,7,5,128,733,0,625,1358,1358,0,0,1358
821,Built-up  Area,4699000,810,Dwarka Mor,3 BHK,18-Dec,2,1,CollgCr,2003,2003,6,2008,60,72,798,842,0,0,0,0,0,0,7,5,0,0,0,798,798,798,842,0,1640
822,Super built-up  Area,2999000,585,Dwarka Mor,3 BHK,18-Nov,2,1,OldTown,1953,1953,2,2009,20,60,936,0,0,0,0,0,0,0,4,4,0,0,0,936,936,936,0,0,936
823,Super built-up  Area,4199000,720,Dwarka Mor,2 BHK,Ready To Move,1,1,Gilbert,2003,2003,10,2007,60,NA,847,886,0,0,0,1,1,1,7,5,0,0,0,847,847,847,886,0,1733
824,Super built-up  Area,2550000,495,Dwarka Mor,4 BHK,Ready To Move,2,1,SWISU,1940,1950,7,2009,50,60,944,545,0,0,0,1,1,1,6,7,0,0,0,778,778,944,545,0,1489
825,Built-up  Area,3099000,585,Dwarka Mor,2 BHK,Ready To Move,2,1,Somerst,2006,2006,6,2006,20,81,1489,0,0,0,0,1,1,1,8,5,0,0,0,1489,1489,1489,0,0,1489
826,Super built-up  Area,5500000,900,Bindapur,4 BHK,20-Dec,2,1,NridgHt,2007,2008,6,2008,20,114,2084,0,0,0,0,0,0,0,10,5,816,1636,0,442,2078,2084,0,0,2084
827,Super built-up  Area,4500000,1000,Uttam Nagar,3 BHK,Ready To Move,2,1,BrkSide,1924,1950,5,2008,45,50,784,0,1,0,0,0,0,0,5,6,0,784,0,0,784,784,0,0,784
828,Super built-up  Area,45000000,4500,Sector-18 Dwarka,3 BHK,Ready To Move,1,1,SawyerW,2001,2001,4,2009,20,65,1434,0,1,0,0,0,0,0,7,5,0,20,0,1434,1454,1434,0,0,1434
829,Built-up  Area,13000000,1600,Sector 6 Dwarka,3 BHK,Ready To Move,2,1,ClearCr,1967,1967,6,2009,60,NA,1160,966,0,1,1,1,1,1,5,5,0,249,764,0,1013,1160,966,0,2126
830,Super built-up  Area,24800000,2600,Sector 6 Dwarka,1 BHK,21-Oct,2,1,Somerst,2005,2005,7,2006,160,24,520,623,1,1,0,0,1,0,7,5,0,0,0,600,600,520,623,80,1223
831,Built-up  Area,2599000,450,Dwarka Mor,2 BHK,20-Dec,2,1,NAmes,1957,1957,6,2008,20,80,1392,0,0,0,0,0,0,0,6,5,387,1040,0,352,1392,1392,0,0,1392
832,Super built-up  Area,2899000,650,Dwarka Mor,2 BHK,Ready To Move,1,1,Somerst,2005,2005,6,2006,160,30,520,600,0,0,0,0,0,0,7,5,0,0,0,600,600,520,600,80,1200
833,Super built-up  Area,4500000,800,Dwarka Mor,3 BHK,Ready To Move,2,1,CollgCr,2003,2003,1,2010,60,44,941,888,0,0,0,0,0,0,7,6,223,483,0,458,941,941,888,0,1829
834,Super built-up  Area,19500000,2100,Palam,2 BHK,Ready To Move,2,1,NAmes,1964,1964,2,2009,20,100,1516,0,0,0,0,0,0,0,6,6,180,196,345,975,1516,1516,0,0,1516
835,Built-up  Area,11399999,1200,Sector 6 Dwarka,2 BHK,Ready To Move,1,1,NAmes,1961,1961,9,2008,20,75,1144,0,1,0,0,0,0,0,5,6,136,572,0,572,1144,1144,0,0,1144
836,Built-up  Area,4599000,850,Dwarka Mor,2 BHK,Ready To Move,1,1,Sawyer,1950,1995,2,2010,20,60,1067,0,0,0,0,0,0,0,4,7,0,442,0,625,1067,1067,0,0,1067
837,Super built-up  Area,16200000,1800,Sector 9 Dwarka,2 BHK,18-Apr,2,1,OldTown,1948,1973,6,2007,30,90,1559,0,0,0,0,0,0,0,5,6,0,338,0,1221,1559,1559,0,0,1559
838,Super built-up  Area,3500000,650,Palam,2 BHK,18-May,1,1,BrDale,1973,1973,11,2008,160,21,483,504,0,0,0,0,0,0,6,5,158,330,0,153,483,483,504,0,987
839,Built-up  Area,3600000,450,Shastri Nagar,6 Bedroom,Ready To Move,1,0,CollgCr,1995,2006,6,2008,20,75,1099,0,0,0,0,0,0,0,5,6,0,0,0,1099,1099,1099,0,0,1099
840,Plot  Area,3800000,450,Shastri Nagar,2 Bedroom,Ready To Move,1,0,Edwards,1946,1995,5,2008,50,70,768,432,0,0,0,0,0,0,5,6,0,352,0,416,768,768,432,0,1200
841,Super built-up  Area,4200000,450,Shastri Nagar,3 BHK,Ready To Move,1,0,SWISU,1925,1950,3,2008,70,NA,810,672,0,0,0,0,0,0,6,8,0,156,0,516,672,810,672,0,1482
842,Super built-up  Area,4000000,450,Shastri Nagar,2 BHK,Ready To Move,2,1,OldTown,1904,2002,6,2008,70,60,958,581,0,0,0,0,0,0,5,8,0,0,0,650,650,958,581,0,1539
843,Super built-up  Area,3600000,450,Shastri Nagar,3 BHK,Ready To Move,2,1,NAmes,1966,1966,5,2008,80,82,1165,0,0,0,0,0,0,0,6,7,183,312,539,276,1127,1165,0,0,1165
844,Super built-up  Area,8200000,900,Shastri Nagar,2 BHK,Ready To Move,1,1,NAmes,1961,1961,7,2007,90,80,1800,0,0,0,0,0,0,0,5,4,0,0,0,1800,1800,1800,0,0,1800
845,Super built-up  Area,6500000,800,Shastri Nagar,2 BHK,Ready To Move,2,1,OldTown,1915,1950,6,2008,50,100,876,540,0,0,0,0,0,0,5,8,0,0,0,876,876,876,540,0,1416
846,Plot  Area,7000000,800,Shastri Nagar,4 Bedroom,Ready To Move,1,1,Sawyer,1975,1981,1,2007,85,NA,1701,0,0,0,0,0,0,0,5,5,0,1390,0,0,1390,1701,0,0,1701
847,Super built-up  Area,7000000,800,Shastri Nagar,3 BHK,Ready To Move,2,1,SawyerW,1993,1993,7,2009,60,75,1006,769,0,0,0,0,0,0,7,5,137,513,0,227,740,1006,769,0,1775
848,Super built-up  Area,3800000,450,Shastri Nagar,3 BHK,Ready To Move,2,1,CollgCr,1972,1972,8,2009,20,36,864,0,0,0,0,0,0,0,5,6,0,460,0,404,864,864,0,0,864
849,Super built-up  Area,3600000,450,Shastri Nagar,3 BHK,18-Jun,1,1,ClearCr,1908,1997,9,2008,50,75,1307,1051,0,0,0,0,0,0,6,8,0,0,0,907,907,1307,1051,0,2358
850,Super built-up  Area,7000000,750,Shastri Nagar,3 BHK,18-Jun,3,1,Veenker,1976,1994,8,2007,80,80,1094,761,0,0,0,0,0,0,6,7,360,0,0,528,528,1094,761,0,1855
851,Super built-up  Area,8200000,900,Shastri Nagar,2 BHK,22-Dec,2,1,CollgCr,2003,2003,11,2007,120,36,848,0,0,0,0,0,0,0,6,5,170,659,0,189,848,848,0,0,848
852,Super built-up  Area,4599000,850,Dwarka Mor,3 BHK,Ready To Move,1,1,Blmngtn,2003,2003,5,2006,120,NA,1456,0,0,0,0,0,0,0,8,5,40,0,0,1273,1273,1456,0,0,1456
853,Built-up  Area,45000000,4500,Sector-18 Dwarka,3 BHK,Ready To Move,2,1,Crawfor,1941,1950,8,2007,75,53,918,728,1,0,0,0,0,0,7,5,0,364,0,554,918,918,728,0,1646
854,Built-up  Area,37500000,3500,Sector-18 Dwarka,2 BHK,Ready To Move,2,1,NAmes,1964,1964,8,2009,80,NA,1445,0,1,0,0,0,0,0,6,6,115,564,0,563,1127,1445,0,0,1445
855,Super built-up  Area,15800000,1600,Sector 6 Dwarka,3 BHK,Ready To Move,1,1,Sawyer,1955,1974,7,2006,20,102,1779,0,1,1,1,0,1,0,5,4,0,306,1085,372,1763,1779,0,0,1779
856,Plot  Area,3500000,650,Sector 9 Dwarka,4 Bedroom,Ready To Move,1,1,Sawyer,1962,2010,4,2010,20,NA,1040,0,0,0,0,0,1,0,5,8,0,659,0,381,1040,1040,0,0,1040
857,Super built-up  Area,3399000,720,Dwarka Mor,3 BHK,Ready To Move,1,1,CollgCr,1978,1978,10,2008,80,NA,1026,0,0,0,0,0,1,0,6,6,0,505,435,0,940,1026,0,0,1026
858,Plot  Area,2349000,450,Dwarka Mor,8 Bedroom,Ready To Move,1,1,Gilbert,1994,1995,3,2009,60,65,702,779,0,0,0,0,1,0,6,5,0,0,0,702,702,702,779,0,1481
859,Super built-up  Area,5999000,990,Dwarka Mor,2 BHK,Ready To Move,2,1,NWAmes,1976,1976,6,2009,20,80,1370,0,0,0,0,0,1,0,7,5,189,0,0,1090,1090,1370,0,0,1370
860,Super built-up  Area,3199000,675,Dwarka Mor,2 BHK,Ready To Move,2,1,NWAmes,1968,1984,8,2006,60,NA,1512,1142,0,0,0,0,1,0,6,7,220,619,0,435,1054,1512,1142,0,2654
861,Plot  Area,4099000,765,Dwarka Mor,6 Bedroom,Ready To Move,2,1,Crawfor,1918,1998,6,2007,50,55,912,514,0,0,0,0,1,0,7,8,0,0,0,912,912,912,514,0,1426
862,Plot  Area,4600000,1000,Uttam Nagar,4 Bedroom,Ready To Move,1,1,Sawyer,1965,1965,4,2010,190,75,1039,0,1,0,0,0,0,0,5,4,0,841,0,198,1039,1039,0,0,1039
863,Super built-up  Area,3500000,865,Uttam Nagar,2 BHK,Ready To Move,1,0,SawyerW,1984,1985,5,2010,20,81,1097,0,0,0,0,0,0,0,6,5,0,338,0,702,1040,1097,0,0,1097
864,Built-up  Area,3500000,865,Uttam Nagar,2 BHK,Ready To Move,2,1,NAmes,1959,1959,7,2009,20,70,1148,0,1,0,0,0,0,0,5,5,0,1148,0,0,1148,1148,0,0,1148
865,Built-up  Area,2500000,640,Uttam Nagar,2 BHK,Ready To Move,1,0,Somerst,2007,2008,5,2008,20,72,1372,0,1,0,0,0,0,0,7,5,0,0,0,1372,1372,1372,0,0,1372
866,Super built-up  Area,2500000,640,Uttam Nagar,2 BHK,Ready To Move,2,1,NAmes,1970,1970,8,2009,20,NA,1002,0,0,0,0,0,0,0,5,6,76,828,0,174,1002,1002,0,0,1002
867,Plot  Area,14000000,1800,Sector 12 Dwarka,5 Bedroom,Ready To Move,1,0,Timber,2006,2007,11,2007,20,67,1646,0,0,0,0,0,0,0,8,5,274,0,0,1638,1638,1646,0,0,1646
868,Built-up  Area,16000000,1800,Sector 12 Dwarka,2 BHK,Ready To Move,2,1,Sawyer,1961,1961,5,2007,20,85,1120,0,0,0,0,0,0,0,4,5,0,932,0,108,1040,1120,0,0,1120
869,Super built-up  Area,16000000,1600,Sector 9 Dwarka,2 BHK,Ready To Move,1,1,Gilbert,1948,1950,5,2006,60,NA,1547,720,0,0,0,0,1,0,5,6,0,0,0,0,0,1547,720,53,2320
870,Super built-up  Area,19000000,2500,Sector 10 Dwarka,2 BHK,18-Apr,2,1,SawyerW,1993,1994,6,2010,60,80,1062,887,0,0,0,0,1,0,7,5,246,750,0,300,1050,1062,887,0,1949
871,Built-up  Area,16000000,1750,Sector 5 Dwarka,2 BHK,19-Dec,2,1,NAmes,1962,1962,8,2009,20,60,894,0,0,0,0,0,0,0,5,5,0,0,0,894,894,894,0,0,894
872,Built-up  Area,18500000,2000,Sector 13 Dwarka,3 BHK,Ready To Move,1,1,CollgCr,1998,1998,6,2010,60,70,804,878,0,0,0,0,0,0,6,5,116,505,0,299,804,804,878,0,1682
873,Super built-up  Area,2600000,685,Dwarka Mor,2 BHK,Ready To Move,2,1,NAmes,1953,1996,10,2008,20,74,910,0,0,0,0,0,0,0,5,7,0,0,0,105,105,910,0,0,910
874,Super built-up  Area,2600000,685,Dwarka Mor,2 BHK,Ready To Move,1,1,NAmes,1949,1950,9,2009,40,60,1036,0,0,0,0,0,0,0,5,7,0,375,0,457,832,1036,0,232,1268
875,Super built-up  Area,2300000,540,Govindpuri,2 BHK,Ready To Move,1,1,OldTown,1941,1950,8,2009,50,52,676,455,0,0,0,0,0,0,5,6,0,0,0,676,676,676,455,0,1131
876,Super built-up  Area,2500000,540,Govindpuri,3 BHK,Ready To Move,1,1,Somerst,2007,2007,8,2007,60,75,1184,1426,0,0,0,0,0,0,8,5,0,64,0,1120,1184,1184,1426,0,2610
877,Super built-up  Area,2500000,520,Govindpuri,3 BHK,Ready To Move,2,1,Mitchel,1963,1963,1,2007,20,94,1040,0,0,0,0,0,0,0,4,5,0,633,0,431,1064,1040,0,0,1040
878,Built-up  Area,4000000,810,Govindpuri,3 BHK,Ready To Move,1,1,NridgHt,2004,2005,6,2009,60,74,1462,762,0,0,0,0,0,0,9,5,216,1170,0,292,1462,1462,762,0,2224
