id,area_type,price,total_sqft,location,size,availability,balcony,society,bath,YearBuilt,YearRemodAdd,MoSold,YrSold,MSSubClass,LotFrontage,1stFlrSF,2ndFlrSF,Gymnasium,SwimmingPool,ShoppingMall,SportsFacility,ATM,School,Hospital,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,KitchenAbvGr
745,Super built-up  Area,4500000,1000,Netaji Nagar,2 BHK,Ready To Move,1,StoneBr,2,1993,1993,10,2008,120,41,1337,0,9,9,9,9,9,9,9,733,0,604,1337,1337,0,0,1337,1
746,Built-up  Area,6075000,1350,Bansdroni,2 BHK,Ready To Move,1,NWAmes,2,1976,1996,7,2008,60,NA,1175,1540,9,9,9,9,9,9,9,575,80,487,1142,1175,1540,0,2715,1
747,Super built-up  Area,6457500,1435,Bansdroni,2 BHK,Ready To Move,1,Gilbert,3,2000,2000,4,2009,60,NA,980,1276,9,9,9,9,9,9,9,300,0,652,952,980,1276,0,2256,1
748,Plot  Area,8550000,1900,Bansdroni,1 Bedroom,Ready To Move,1,OldTown,2,1880,2003,5,2009,70,65,1320,1320,9,9,9,9,9,9,9,0,0,1240,1240,1320,1320,0,2640,1
749,Super built-up  Area,8100000,1800,Rajarhat,2 BHK,Ready To Move,1,NoRidge,1,1996,1996,3,2010,20,59,1720,0,9,9,9,9,9,9,9,919,0,801,1720,1720,0,0,1720,1
750,Plot  Area,6750000,1500,Bhawanipur,4 Bedroom,Ready To Move,1,Edwards,2,1945,1950,4,2009,50,50,1088,441,9,9,9,9,9,9,9,0,0,0,0,1088,441,0,1529,1
751,Super built-up  Area,8100000,1800,Bhawanipur,3 BHK,18-Dec,1,OldTown,2,1910,2004,6,2010,50,55,792,348,9,9,9,9,9,9,9,0,0,576,576,792,348,0,1140,1
752,Super built-up  Area,4500000,1000,Bhawanipur,2 BHK,Ready To Move,1,Gilbert,1,2003,2003,8,2007,60,NA,660,660,9,9,9,9,9,9,9,0,0,660,660,660,660,0,1320,1
753,Super built-up  Area,5850000,1300,Lake Town,2 BHK,Ready To Move,1,CollgCr,2,1997,1997,7,2006,20,79,1494,0,9,9,9,9,9,9,9,1200,0,279,1479,1494,0,0,1494,1
754,Super built-up  Area,13500000,3000,Bhawanipur,4 BHK,18-Dec,1,NridgHt,2,2005,2005,3,2006,60,80,1038,1060,9,9,9,9,9,9,9,0,0,1030,1030,1038,1060,0,2098,1
755,Super built-up  Area,6750000,1500,Bhawanipur,2 BHK,Ready To Move,1,NAmes,2,1969,2005,7,2009,20,61,1026,0,9,9,9,9,9,9,9,439,472,115,1026,1026,0,0,1026,1
756,Super built-up  Area,8100000,1800,New Town,3 BHK,Ready To Move,1,Somerst,1,1999,1999,3,2009,160,34,742,729,9,9,9,9,9,9,9,381,0,348,729,742,729,0,1471,1
757,Super built-up  Area,9000000,2000,New Town,2 BHK,Ready To Move,1,CollgCr,2,2007,2007,4,2009,60,68,866,902,9,9,9,9,9,9,9,20,0,846,866,866,902,0,1768,1
758,Plot  Area,22500000,5000,Dum Dum,5 Bedroom,Ready To Move,1,Sawyer,2,1978,1978,4,2010,60,NA,672,714,9,9,9,9,9,9,9,438,0,234,672,672,714,0,1386,1
759,Super built-up  Area,11250000,2500,Dum Dum,2 BHK,Ready To Move,1,Somerst,2,1999,1999,8,2008,160,24,757,744,9,9,9,9,9,9,9,549,0,195,744,757,744,0,1501,1
760,Plot  Area,6750000,1500,Dum Dum,4 Bedroom,18-Nov,1,NoRidge,2,1995,1995,11,2007,60,65,1328,1203,9,9,9,9,9,9,9,56,64,1198,1318,1328,1203,0,2531,1
761,Super built-up  Area,5850000,1300,Baguiati,2 BHK,18-Aug,1,NAmes,2,1959,1959,10,2009,20,70,864,0,9,9,9,9,9,9,9,612,0,252,864,864,0,0,864,1
762,Super built-up  Area,4725000,1050,Rajarhat,2 BHK,Ready To Move,1,BrkSide,1,1924,1950,10,2009,30,60,1301,0,9,9,9,9,9,9,9,405,0,740,1145,1301,0,0,1301,1
763,Super built-up  Area,7200000,1600,Kankurgachi,2 BHK,Ready To Move,1,Somerst,1,2009,2009,6,2010,60,72,764,783,9,9,9,9,9,9,9,24,0,732,756,764,783,0,1547,1
764,Super built-up  Area,5400000,1200,New Town,1 BHK,Ready To Move,1,NoRidge,2,1999,1999,7,2009,60,82,1268,1097,9,9,9,9,9,9,9,1163,0,89,1252,1268,1097,0,2365,1
765,Super built-up  Area,15750000,3500,New Town,2 BHK,Ready To Move,1,Veenker,2,1995,1996,4,2006,120,30,1494,0,9,9,9,9,9,9,9,437,1057,0,1494,1494,0,0,1494,1
766,Built-up  Area,6075000,1350,New Town,3 BHK,Ready To Move,1,Somerst,1,2008,2008,8,2008,20,75,1506,0,9,9,9,9,9,9,9,0,0,1498,1498,1506,0,0,1506,1
767,Super built-up  Area,19575000,4350,New Town,2 BHK,Ready To Move,1,NWAmes,2,1988,1988,3,2010,60,80,980,734,9,9,9,9,9,9,9,394,0,586,980,980,734,0,1714,1
768,Plot  Area,8550000,1900,New Town,5 Bedroom,Ready To Move,1,Mitchel,2,1940,1985,7,2008,50,75,983,767,9,9,9,9,9,9,9,660,0,323,983,983,767,0,1750,1
769,Super built-up  Area,8100000,1800,New Town,3 BHK,Ready To Move,1,CollgCr,2,2004,2005,10,2006,20,70,1836,0,9,9,9,9,9,9,9,24,0,1836,1860,1836,0,0,1836,1
770,Super built-up  Area,15750000,3500,New Town,2 BHK,Ready To Move,1,StoneBr,2,2003,2003,6,2010,60,47,1690,1589,9,9,9,9,9,9,9,1416,0,234,1650,1690,1589,0,3279,1
771,Plot  Area,21600000,4800,New Town,9 Bedroom,Ready To Move,1,Sawyer,3,1982,1982,4,2009,85,NA,858,0,9,9,9,9,9,9,9,685,0,173,858,858,0,0,858,1
772,Super built-up  Area,22500000,5000,New Town,2 BHK,Ready To Move,1,Edwards,1,1951,1951,4,2006,20,67,1220,0,9,9,9,9,9,9,9,836,0,0,836,1220,0,0,1220,1
773,Super built-up  Area,5850000,1300,New Town,2 BHK,20-Dec,1,Edwards,1,1976,1976,3,2010,80,94,1117,0,9,9,9,9,9,9,9,422,127,480,1029,1117,0,0,1117,1
774,Super built-up  Area,9000000,2000,New Town,3 BHK,Ready To Move,1,NAmes,1,1958,1958,7,2007,20,70,912,0,9,9,9,9,9,9,9,456,0,456,912,912,0,0,912,1
775,Built-up  Area,5661000,1258,New Town,2 BHK,Ready To Move,1,NridgHt,1,2006,2006,7,2007,20,110,1973,0,9,9,9,9,9,9,9,0,0,1935,1935,1973,0,0,1973,1
776,Built-up  Area,8100000,1800,New Town,1 BHK,Ready To Move,1,Mitchel,2,1998,1998,6,2009,120,32,1204,0,9,9,9,9,9,9,9,866,0,338,1204,1204,0,0,1204,1
777,Super built-up  Area,7200000,1600,New Town,3 BHK,Ready To Move,1,CollgCr,2,2005,2006,7,2006,20,86,1614,0,9,9,9,9,9,9,9,20,0,1594,1614,1614,0,0,1614,1
778,Super built-up  Area,6232500,1385,New Town,2 BHK,Ready To Move,1,Sawyer,2,1974,1974,6,2006,20,100,894,0,9,9,9,9,9,9,9,762,0,102,864,894,0,0,894,1
779,Super built-up  Area,11250000,2500,New Town,3 BHK,Ready To Move,1,SawyerW,1,1977,1977,10,2007,90,60,2020,0,9,9,9,9,9,9,9,0,0,0,0,2020,0,0,2020,2
780,Super built-up  Area,9000000,2000,New Town,3 BHK,Ready To Move,1,Mitchel,2,1977,1977,5,2006,90,78,1004,0,9,9,9,9,9,9,9,975,0,0,975,1004,0,0,1004,1
781,Super built-up  Area,5850000,1300,New Town,2 BHK,Ready To Move,1,Gilbert,1,1995,1996,6,2007,20,63,1253,0,9,9,9,9,9,9,9,0,0,1237,1237,1253,0,0,1253,1
782,Super built-up  Area,20250000,4500,New Town,2 BHK,Ready To Move,1,SawyerW,2,1992,1992,7,2006,60,65,810,793,9,9,9,9,9,9,9,387,0,374,761,810,793,0,1603,1
783,Super built-up  Area,7200000,1600,New Town,1 RK,Ready To Move,1,CollgCr,2,2001,2002,6,2009,20,67,1430,0,9,9,9,9,9,9,9,0,0,1413,1413,1430,0,0,1430,1
784,Built-up  Area,4500000,1000,New Town,6 Bedroom,Ready To Move,1,Mitchel,2,1978,1978,7,2009,85,NA,1110,0,9,9,9,9,9,9,9,1097,0,0,1097,1110,0,0,1110,1
785,Super built-up  Area,7335000,1630,New Town,3 BHK,Ready To Move,1,OldTown,1,1914,2001,6,2008,75,35,742,742,9,9,9,9,9,9,9,0,0,742,742,742,742,0,1484,1
786,Super built-up  Area,9000000,2000,New Town,3 BHK,Ready To Move,1,NWAmes,2,1967,1967,9,2009,20,NA,1342,0,9,9,9,9,9,9,9,251,630,491,1372,1342,0,0,1342,1
787,Super built-up  Area,7200000,1600,New Town,2 BHK,Ready To Move,1,OldTown,2,1915,1950,6,2010,50,60,966,686,9,9,9,9,9,9,9,686,0,0,686,966,686,0,1652,1
788,Super built-up  Area,6075000,1350,Dum Dum,4 BHK,Ready To Move,1,SawyerW,2,2004,2004,1,2010,60,76,956,1128,9,9,9,9,9,9,9,656,0,300,956,956,1128,0,2084,1
789,Plot  Area,6750000,1500,Dum Dum,4 Bedroom,Ready To Move,1,OldTown,2,1954,2000,8,2008,20,50,901,0,9,9,9,9,9,9,9,0,0,901,901,901,0,0,901,1
790,Plot  Area,7200000,1600,Dum Dum,6 Bedroom,Ready To Move,1,ClearCr,1,1966,2007,7,2007,60,NA,976,1111,9,9,9,9,9,9,9,568,0,264,832,976,1111,0,2087,1
791,Super built-up  Area,13050000,2900,Dum Dum,3 BHK,18-Oct,1,Blmngtn,2,2005,2006,9,2009,120,43,1145,0,9,9,9,9,9,9,9,16,0,1129,1145,1145,0,0,1145,1
792,Super built-up  Area,5400000,1200,Keshtopur,2 BHK,19-Feb,1,Mitchel,2,1976,1976,5,2007,80,NA,1062,0,9,9,9,9,9,9,9,539,0,490,1029,1062,0,0,1062,1
793,Super built-up  Area,10147500,2255,New Town,2 BHK,Ready To Move,1,NoRidge,1,1996,1997,6,2007,60,92,1127,886,9,9,9,9,9,9,9,862,0,255,1117,1127,886,0,2013,1
794,Built-up  Area,6300000,1400,Ballygunge,2 BHK,Ready To Move,1,Somerst,2,2007,2007,6,2007,20,76,1496,0,9,9,9,9,9,9,9,0,0,1496,1496,1496,0,0,1496,1
795,Built-up  Area,6750000,1500,Chandannagar,7 Bedroom,Ready To Move,1,Gilbert,2,1994,1996,10,2008,60,NA,1086,809,9,9,9,9,9,9,9,0,0,712,712,1086,809,0,1895,1
796,Super built-up  Area,7200000,1600,Kasba,3 BHK,Ready To Move,1,SawyerW,2,1980,1981,4,2010,60,70,888,676,9,9,9,9,9,9,9,0,0,650,650,888,676,0,1564,1
797,Super built-up  Area,12150000,2700,New Town,2 BHK,Ready To Move,1,Sawyer,2,1977,1977,4,2007,20,71,1285,0,9,9,9,9,9,9,9,0,0,660,660,1285,0,0,1285,1
798,Super built-up  Area,5400000,1200,Chandannagar,2 BHK,Ready To Move,1,NAmes,1,1953,1953,4,2008,20,57,773,0,9,9,9,9,9,9,9,570,0,203,773,773,0,0,773,1
799,Super built-up  Area,20700000,4600,Kasba,2 BHK,Ready To Move,1,NridgHt,1,2008,2009,7,2009,60,104,1966,1174,9,9,9,9,9,9,9,0,0,1926,1926,1966,1174,0,3140,1
800,Super built-up  Area,7425000,1650,New Town,3 BHK,Ready To Move,1,SWISU,3,1937,1950,6,2007,50,60,981,787,9,9,9,9,9,9,9,569,0,162,731,981,787,0,1768,1
801,Super built-up  Area,24840000,5520,Keshtopur,3 BHK,Ready To Move,1,ClearCr,1,1997,1997,5,2008,60,79,616,1072,9,9,9,9,9,9,9,462,0,154,616,616,1072,0,1688,1
802,Super built-up  Area,17550000,3900,Tiljala,4 BHK,18-Dec,1,IDOTRR,2,1916,1990,7,2007,30,40,1196,0,9,9,9,9,9,9,9,197,0,999,1196,1196,0,0,1196,1
803,Super built-up  Area,8100000,1800,Kasba,2 BHK,Ready To Move,1,CollgCr,1,2005,2005,10,2008,60,63,728,728,9,9,9,9,9,9,9,648,0,80,728,728,728,0,1456,1
804,Super built-up  Area,20250000,4500,Kasba,2 BHK,Ready To Move,1,NridgHt,2,2008,2009,1,2009,60,107,1734,1088,9,9,9,9,9,9,9,0,0,1734,1734,1734,1088,0,2822,1
805,Built-up  Area,6979500,1551,Kasba,2 BHK,Ready To Move,1,NAmes,3,1954,1954,6,2006,20,75,1128,0,9,9,9,9,9,9,9,812,0,124,936,1128,0,0,1128,1
806,Super built-up  Area,7200000,1600,Tiljala,3 BHK,Ready To Move,1,Somerst,1,2008,2008,7,2008,20,91,1428,0,9,9,9,9,9,9,9,0,0,1417,1417,1428,0,0,1428,1
807,Built-up  Area,8797500,1955,Tiljala,2 BHK,Ready To Move,1,NAmes,2,1967,1967,10,2006,80,75,980,0,9,9,9,9,9,9,9,400,480,100,980,980,0,0,980,1
808,Plot  Area,6975000,1550,Kustia,4 Bedroom,Ready To Move,1,BrkSide,2,1923,2004,5,2009,70,144,1072,504,9,9,9,9,9,9,9,1309,0,15,1324,1072,504,0,1576,1
809,Super built-up  Area,21690000,4820,Tiljala,3 BHK,Ready To Move,1,NAmes,1,1966,1966,6,2006,80,85,1086,0,9,9,9,9,9,9,9,516,128,380,1024,1086,0,0,1086,1
810,Built-up  Area,8293500,1843,Tiljala,3 BHK,Ready To Move,1,OldTown,1,1898,1965,11,2009,75,90,1075,1063,9,9,9,9,9,9,9,0,0,849,849,1075,1063,0,2138,3
811,Plot  Area,16380000,3640,Tiljala,4 Bedroom,18-Apr,1,NWAmes,2,1974,1999,1,2006,20,78,1309,0,9,9,9,9,9,9,9,663,377,0,1040,1309,0,0,1309,1
812,Super built-up  Area,13500000,3000,Topsia,4 BHK,18-Jul,1,CollgCr,1,2004,2004,6,2008,120,NA,848,0,9,9,9,9,9,9,9,662,0,186,848,848,0,0,848,1
813,Super built-up  Area,20250000,4500,Topsia,2 BHK,Ready To Move,1,IDOTRR,1,1952,1952,6,2010,20,66,1044,0,9,9,9,9,9,9,9,0,0,540,540,1044,0,0,1044,1
814,Super built-up  Area,5850000,1300,Tiljala,2 BHK,17-Jul,1,NAmes,1,1958,1958,4,2007,20,75,1442,0,9,9,9,9,9,9,9,608,0,834,1442,1442,0,0,1442,1
815,Built-up  Area,4500000,1000,Kasba,2 BHK,Ready To Move,1,Edwards,1,1918,1950,7,2006,50,45,686,564,9,9,9,9,9,9,9,0,0,686,686,686,564,0,1250,1
816,Super built-up  Area,9000000,2000,Belghoria,2 BHK,18-Aug,1,CollgCr,1,1998,1998,5,2010,20,48,1661,0,9,9,9,9,9,9,9,0,0,1649,1649,1661,0,0,1661,1
817,Built-up  Area,7650000,1700,Mukundapur,1 BHK,Ready To Move,1,NAmes,2,1954,1954,7,2006,20,NA,1008,0,9,9,9,9,9,9,9,486,0,522,1008,1008,0,0,1008,1
818,Super built-up  Area,8100000,1800,Garia,2 BHK,Ready To Move,1,Mitchel,1,2002,2002,7,2008,20,NA,1689,0,9,9,9,9,9,9,9,1218,0,350,1568,1689,0,0,1689,1
819,Super built-up  Area,5400000,1200,Belghoria,3 BHK,Ready To Move,1,ClearCr,2,1971,1971,6,2010,80,80,1052,0,9,9,9,9,9,9,9,504,0,506,1010,1052,0,0,1052,1
820,Super built-up  Area,5400000,1200,Kasba,4 BHK,Ready To Move,1,NridgHt,1,2009,2010,6,2010,120,44,1358,0,9,9,9,9,9,9,9,733,0,625,1358,1358,0,0,1358,1
821,Built-up  Area,7650000,1700,Rajarhat,3 BHK,18-Dec,1,CollgCr,2,2003,2003,6,2008,60,72,798,842,9,9,9,9,9,9,9,0,0,798,798,798,842,0,1640,1
822,Super built-up  Area,7425000,1650,Ganguly Bagan,3 BHK,18-Nov,1,OldTown,2,1953,1953,2,2009,20,60,936,0,9,9,9,9,9,9,9,0,0,936,936,936,0,0,936,1
823,Super built-up  Area,6750000,1500,Tollygunge,2 BHK,Ready To Move,1,Gilbert,1,2003,2003,10,2007,60,NA,847,886,9,9,9,9,9,9,9,0,0,847,847,847,886,0,1733,1
824,Super built-up  Area,11250000,2500,Tollygunge,4 BHK,Ready To Move,1,SWISU,2,1940,1950,7,2009,50,60,944,545,9,9,9,9,9,9,9,0,0,778,778,944,545,0,1489,1
825,Built-up  Area,11250000,2500,Ashok Nagar,2 BHK,Ready To Move,1,Somerst,2,2006,2006,6,2006,20,81,1489,0,9,9,9,9,9,9,9,0,0,1489,1489,1489,0,0,1489,1
826,Super built-up  Area,11070000,2460,Keshtopur,4 BHK,20-Dec,1,NridgHt,2,2007,2008,6,2008,20,114,2084,0,9,9,9,9,9,9,9,1636,0,442,2078,2084,0,0,2084,1
827,Super built-up  Area,12600000,2800,Jodhpur Park,3 BHK,Ready To Move,1,BrkSide,2,1924,1950,5,2008,45,50,784,0,9,9,9,9,9,9,9,784,0,0,784,784,0,0,784,1
828,Super built-up  Area,11097000,2466,Tollygunge,3 BHK,Ready To Move,1,SawyerW,1,2001,2001,4,2009,20,65,1434,0,9,9,9,9,9,9,9,20,0,1434,1454,1434,0,0,1434,1
829,Built-up  Area,7425000,1650,New Town,3 BHK,Ready To Move,1,ClearCr,2,1967,1967,6,2009,60,NA,1160,966,9,9,9,9,9,9,9,249,764,0,1013,1160,966,0,2126,1
830,Super built-up  Area,3645000,810,Tiljala,1 BHK,21-Oct,1,Somerst,2,2005,2005,7,2006,160,24,520,623,9,9,9,9,9,9,9,0,0,600,600,520,623,80,1223,1
831,Built-up  Area,5625000,1250,Tiljala,2 BHK,20-Dec,1,NAmes,2,1957,1957,6,2008,20,80,1392,0,9,9,9,9,9,9,9,1040,0,352,1392,1392,0,0,1392,1
832,Super built-up  Area,16443000,3654,Garia,2 BHK,Ready To Move,1,Somerst,1,2005,2005,6,2006,160,30,520,600,9,9,9,9,9,9,9,0,0,600,600,520,600,80,1200,1
833,Super built-up  Area,17100000,3800,Ariadaha,3 BHK,Ready To Move,1,CollgCr,2,2003,2003,1,2010,60,44,941,888,9,9,9,9,9,9,9,483,0,458,941,941,888,0,1829,1
834,Super built-up  Area,6552000,1456,Ariadaha,2 BHK,Ready To Move,1,NAmes,2,1964,1964,2,2009,20,100,1516,0,9,9,9,9,9,9,9,196,345,975,1516,1516,0,0,1516,1
835,Built-up  Area,11052000,2456,Sodepur,2 BHK,Ready To Move,1,NAmes,1,1961,1961,9,2008,20,75,1144,0,9,9,9,9,9,9,9,572,0,572,1144,1144,0,0,1144,1
836,Built-up  Area,24481800,3654,Rajarhat,2 BHK,Ready To Move,1,Sawyer,1,1950,1995,2,2010,20,60,1067,0,9,9,9,9,9,9,9,442,0,625,1067,1067,0,0,1067,1
837,Super built-up  Area,15075000,2250,Haltu,2 BHK,18-Apr,1,OldTown,2,1948,1973,6,2007,30,90,1559,0,9,9,9,9,9,9,9,338,0,1221,1559,1559,0,0,1559,1
838,Super built-up  Area,30150000,4500,Howrah,2 BHK,18-May,1,BrDale,1,1973,1973,11,2008,160,21,483,504,9,9,9,9,9,9,9,330,0,153,483,483,504,0,987,1
839,Built-up  Area,13400000,2000,Howrah,6 Bedroom,Ready To Move,0,CollgCr,1,1995,2006,6,2008,20,75,1099,0,9,9,9,9,9,9,9,0,0,1099,1099,1099,0,0,1099,1
840,Plot  Area,10720000,1600,Howrah,2 Bedroom,Ready To Move,0,Edwards,1,1946,1995,5,2008,50,70,768,432,9,9,9,9,9,9,9,352,0,416,768,768,432,0,1200,1
841,Super built-up  Area,33500000,5000,Howrah,3 BHK,Ready To Move,0,SWISU,1,1925,1950,3,2008,70,NA,810,672,9,9,9,9,9,9,9,156,0,516,672,810,672,0,1482,1
842,Super built-up  Area,36850000,5500,Howrah,2 BHK,Ready To Move,1,OldTown,2,1904,2002,6,2008,70,60,958,581,9,9,9,9,9,9,9,0,0,650,650,958,581,0,1539,1
843,Super built-up  Area,30150000,4500,Howrah,3 BHK,Ready To Move,1,NAmes,2,1966,1966,5,2008,80,82,1165,0,9,9,9,9,9,9,9,312,539,276,1127,1165,0,0,1165,1
844,Super built-up  Area,12730000,1900,Kasba,2 BHK,Ready To Move,1,NAmes,1,1961,1961,7,2007,90,80,1800,0,9,9,9,9,9,9,9,0,0,1800,1800,1800,0,0,1800,2
845,Super built-up  Area,13400000,2000,Rajarhat,2 BHK,Ready To Move,1,OldTown,2,1915,1950,6,2008,50,100,876,540,9,9,9,9,9,9,9,0,0,876,876,876,540,0,1416,1
846,Plot  Area,12060000,1800,Rajarhat,4 Bedroom,Ready To Move,1,Sawyer,1,1975,1981,1,2007,85,NA,1701,0,9,9,9,9,9,9,9,1390,0,0,1390,1701,0,0,1701,1
847,Super built-up  Area,12060000,1800,Dakshineswar,3 BHK,Ready To Move,1,SawyerW,2,1993,1993,7,2009,60,75,1006,769,9,9,9,9,9,9,9,513,0,227,740,1006,769,0,1775,1
848,Super built-up  Area,12060000,1800,Bansdroni,3 BHK,Ready To Move,1,CollgCr,2,1972,1972,8,2009,20,36,864,0,9,9,9,9,9,9,9,460,0,404,864,864,0,0,864,1
849,Super built-up  Area,13400000,2000,Bhatenda,3 BHK,18-Jun,1,ClearCr,1,1908,1997,9,2008,50,75,1307,1051,9,9,9,9,9,9,9,0,0,907,907,1307,1051,0,2358,1
850,Super built-up  Area,12730000,1900,Bhatenda,3 BHK,18-Jun,1,Veenker,3,1976,1994,8,2007,80,80,1094,761,9,9,9,9,9,9,9,0,0,528,528,1094,761,0,1855,1
851,Super built-up  Area,12730000,1900,Bhatenda,2 BHK,22-Dec,1,CollgCr,2,2003,2003,11,2007,120,36,848,0,9,9,9,9,9,9,9,659,0,189,848,848,0,0,848,1
852,Super built-up  Area,12730000,1900,New Town,3 BHK,Ready To Move,1,Blmngtn,1,2003,2003,5,2006,120,NA,1456,0,9,9,9,9,9,9,9,0,0,1273,1273,1456,0,0,1456,1
853,Built-up  Area,13400000,2000,Reekjoyoni,3 BHK,Ready To Move,1,Crawfor,2,1941,1950,8,2007,75,53,918,728,9,9,9,9,9,9,9,364,0,554,918,918,728,0,1646,1
854,Built-up  Area,12730000,1900,Reekjoyoni,2 BHK,Ready To Move,1,NAmes,2,1964,1964,8,2009,80,NA,1445,0,9,9,9,9,9,9,9,564,0,563,1127,1445,0,0,1445,1
855,Super built-up  Area,13400000,2000,New Town,3 BHK,Ready To Move,1,Sawyer,1,1955,1974,7,2006,20,102,1779,0,9,9,9,9,9,9,9,306,1085,372,1763,1779,0,0,1779,1
856,Plot  Area,12060000,1800,New Town,4 Bedroom,Ready To Move,1,Sawyer,1,1962,2010,4,2010,20,NA,1040,0,9,9,9,9,9,9,9,659,0,381,1040,1040,0,0,1040,1
857,Super built-up  Area,12060000,1800,New Town,3 BHK,Ready To Move,1,CollgCr,1,1978,1978,10,2008,80,NA,1026,0,9,9,9,9,9,9,9,505,435,0,940,1026,0,0,1026,1
858,Plot  Area,13400000,2000,New Town,8 Bedroom,Ready To Move,1,Gilbert,1,1994,1995,3,2009,60,65,702,779,9,9,9,9,9,9,9,0,0,702,702,702,779,0,1481,1
859,Super built-up  Area,12730000,1900,New Town,2 BHK,Ready To Move,1,NWAmes,2,1976,1976,6,2009,20,80,1370,0,9,9,9,9,9,9,9,0,0,1090,1090,1370,0,0,1370,1
860,Super built-up  Area,12730000,1900,Khardah,2 BHK,Ready To Move,1,NWAmes,2,1968,1984,8,2006,60,NA,1512,1142,9,9,9,9,9,9,9,619,0,435,1054,1512,1142,0,2654,1
861,Plot  Area,12060000,1800,Khardah,6 Bedroom,Ready To Move,1,Crawfor,2,1918,1998,6,2007,50,55,912,514,9,9,9,9,9,9,9,0,0,912,912,912,514,0,1426,1
862,Plot  Area,12060000,1800,Khardah,4 Bedroom,Ready To Move,1,Sawyer,1,1965,1965,4,2010,190,75,1039,0,9,9,9,9,9,9,9,841,0,198,1039,1039,0,0,1039,1
863,Super built-up  Area,12730000,1900,Dum Dum,2 BHK,Ready To Move,0,SawyerW,1,1984,1985,5,2010,20,81,1097,0,9,9,9,9,9,9,9,338,0,702,1040,1097,0,0,1097,1
864,Built-up  Area,12060000,1800,Dum Dum,2 BHK,Ready To Move,1,NAmes,2,1959,1959,7,2009,20,70,1148,0,9,9,9,9,9,9,9,1148,0,0,1148,1148,0,0,1148,1
865,Built-up  Area,12060000,1800,Dum Dum,2 BHK,Ready To Move,0,Somerst,1,2007,2008,5,2008,20,72,1372,0,9,9,9,9,9,9,9,0,0,1372,1372,1372,0,0,1372,1
866,Super built-up  Area,12060000,1800,Dum Dum,2 BHK,Ready To Move,1,NAmes,2,1970,1970,8,2009,20,NA,1002,0,9,9,9,9,9,9,9,828,0,174,1002,1002,0,0,1002,1
867,Plot  Area,12060000,1800,Dum Dum,5 Bedroom,Ready To Move,0,Timber,1,2006,2007,11,2007,20,67,1646,0,9,9,9,9,9,9,9,0,0,1638,1638,1646,0,0,1646,1
868,Built-up  Area,14740000,2200,Dum Dum,2 BHK,Ready To Move,1,Sawyer,2,1961,1961,5,2007,20,85,1120,0,9,9,9,9,9,9,9,932,0,108,1040,1120,0,0,1120,1
869,Super built-up  Area,12060000,1800,Dum Dum,2 BHK,Ready To Move,1,Gilbert,1,1948,1950,5,2006,60,NA,1547,720,9,9,9,9,9,9,9,0,0,0,0,1547,720,53,2320,1
870,Super built-up  Area,13400000,2000,Khardah,2 BHK,18-Apr,1,SawyerW,2,1993,1994,6,2010,60,80,1062,887,9,9,9,9,9,9,9,750,0,300,1050,1062,887,0,1949,1
871,Built-up  Area,12060000,1800,Khardah,2 BHK,19-Dec,1,NAmes,2,1962,1962,8,2009,20,60,894,0,9,9,9,9,9,9,9,0,0,894,894,894,0,0,894,1
872,Built-up  Area,12060000,1800,Khardah,3 BHK,Ready To Move,1,CollgCr,1,1998,1998,6,2010,60,70,804,878,9,9,9,9,9,9,9,505,0,299,804,804,878,0,1682,1
873,Super built-up  Area,12060000,1800,Khardah,2 BHK,Ready To Move,1,NAmes,2,1953,1996,10,2008,20,74,910,0,9,9,9,9,9,9,9,0,0,105,105,910,0,0,910,1
874,Super built-up  Area,13400000,2000,Khardah,2 BHK,Ready To Move,1,NAmes,1,1949,1950,9,2009,40,60,1036,0,9,9,9,9,9,9,9,375,0,457,832,1036,0,232,1268,1
875,Super built-up  Area,12060000,1800,Khardah,2 BHK,Ready To Move,1,OldTown,1,1941,1950,8,2009,50,52,676,455,9,9,9,9,9,9,9,0,0,676,676,676,455,0,1131,1
876,Super built-up  Area,10720000,1600,Tiljala,3 BHK,Ready To Move,1,Somerst,1,2007,2007,8,2007,60,75,1184,1426,9,9,9,9,9,9,9,64,0,1120,1184,1184,1426,0,2610,1
877,Super built-up  Area,12060000,1800,Narendrapur,3 BHK,Ready To Move,1,Mitchel,2,1963,1963,1,2007,20,94,1040,0,9,9,9,9,9,9,9,633,0,431,1064,1040,0,0,1040,1
878,Built-up  Area,12060000,1800,Keshtopur,3 BHK,Ready To Move,1,NridgHt,1,2004,2005,6,2009,60,74,1462,762,9,9,9,9,9,9,9,1170,0,292,1462,1462,762,0,2224,1
879,Super built-up  Area,10720000,1600,Keshtopur,3 BHK,Ready To Move,1,Sawyer,2,1961,1995,6,2010,85,88,1155,0,9,9,9,9,9,9,9,899,0,210,1109,1155,0,0,1155,1
880,Super built-up  Area,23450000,3500,Kamarhati on BT Road,3 BHK,Ready To Move,1,CollgCr,1,1978,2005,7,2009,20,NA,864,0,9,9,9,9,9,9,9,646,0,218,864,864,0,0,864,1
881,Built-up  Area,8040000,1200,Keshtopur,3 BHK,Ready To Move,1,Edwards,1,2005,2006,6,2007,20,60,1090,0,9,9,9,9,9,9,9,980,0,110,1090,1090,0,0,1090,1
